HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L3.30625_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../Earth_correct_params_S3.20c/Earth_correct_params_S3.20c_AM3.303125/Output/Earth_correct_params_S3.20c_L3.30313_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.5451e+11	9.80878e+06	0.000744487	0	-3.16111e-15
	 	 	2	0.000968599	2.54264e+11	9.81017e+06	0.000744253	0	-1.4225e-15
	 	 	3	0.000249194	2.54201e+11	9.81027e+06	0.00074422	0	7.90277e-16
	 	 	4	7.07504e-05	2.54183e+11	9.81026e+06	0.000744219	0	3.47722e-15
	 	 	5	1.94833e-05	2.54178e+11	9.81025e+06	0.000744219	0	-9.48332e-16
	 	 	6	4.70012e-06	2.54176e+11	9.81025e+06	0.00074422	0	1.58055e-16
	 	 	7	9.64242e-07	2.54176e+11	9.81025e+06	0.00074422	0	1.58055e-16
	 	 	8	1.67969e-07	2.54176e+11	9.81025e+06	0.00074422	0	-3.00305e-15
	 	 	9	2.4904e-08	2.54176e+11	9.81025e+06	0.00074422	0	1.58055e-16
	 	 	10	3.14323e-09	2.54176e+11	9.81025e+06	0.00074422	0	2.52889e-15
	 1	9.15854e-05	9.81025e+06	0.4272	0.904157	2.11648	0.00074422	1.79787e-16	2.52889e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54064e+11	9.81357e+06	0.000745467	0	-1.4225e-15
	 	 	2	0.00187299	2.53589e+11	9.82079e+06	0.000743366	0	6.32222e-16
	 	 	3	0.00201497	2.54101e+11	9.81765e+06	0.000743872	0	4.74166e-16
	 	 	4	0.00052785	2.54235e+11	9.81739e+06	0.000743948	0	9.48332e-16
	 	 	5	0.000150983	2.54274e+11	9.81742e+06	0.000743952	0	-2.37083e-15
	 	 	6	4.18891e-05	2.54285e+11	9.81743e+06	0.00074395	0	-1.89666e-15
	 	 	7	1.02113e-05	2.54287e+11	9.81744e+06	0.00074395	0	1.4225e-15
	 	 	8	2.12004e-06	2.54288e+11	9.81744e+06	0.00074395	0	-1.10639e-15
	 	 	9	3.73848e-07	2.54288e+11	9.81744e+06	0.00074395	0	-1.58055e-16
	 	 	10	5.61009e-08	2.54288e+11	9.81744e+06	0.00074395	0	3.16111e-16
	 	 	11	7.16284e-09	2.54288e+11	9.81744e+06	0.00074395	0	-2.05472e-15
	 2	0.000213938	9.81744e+06	0.426779	0.904356	2.11903	0.00074395	5.39361e-16	-2.05472e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54249e+11	9.81848e+06	0.000745312	0	-9.48332e-16
	 	 	2	0.00202858	2.53735e+11	9.82527e+06	0.00074339	0	6.32222e-16
	 	 	3	0.00167203	2.5416e+11	9.82254e+06	0.000743825	0	-4.10944e-15
	 	 	4	0.000436548	2.54271e+11	9.8223e+06	0.000743891	0	-1.10639e-15
	 	 	5	0.000125493	2.54302e+11	9.82232e+06	0.000743895	0	7.90277e-16
	 	 	6	3.514e-05	2.54311e+11	9.82233e+06	0.000743894	0	-1.10639e-15
	 	 	7	8.63888e-06	2.54314e+11	9.82234e+06	0.000743893	0	-2.845e-15
	 	 	8	1.80524e-06	2.54314e+11	9.82234e+06	0.000743893	0	-9.48332e-16
	 	 	9	3.19834e-07	2.54314e+11	9.82234e+06	0.000743893	0	-6.32222e-16
	 	 	10	4.81458e-08	2.54314e+11	9.82234e+06	0.000743893	0	0
	 	 	11	6.15609e-09	2.54314e+11	9.82234e+06	0.000743893	0	1.73861e-15
	 3	8.03148e-05	9.82234e+06	0.426558	0.90446	2.12037	0.000743893	1.79787e-16	1.73861e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54289e+11	9.82649e+06	0.000743892	0	7.90277e-16
	 	 	2	8.89079e-05	2.54312e+11	9.8266e+06	0.00074388	0	-9.48332e-16
	 	 	3	3.89312e-05	2.54322e+11	9.82662e+06	0.000743877	0	2.05472e-15
	 	 	4	1.04186e-05	2.54325e+11	9.82662e+06	0.000743877	0	-2.05472e-15
	 	 	5	1.9897e-06	2.54325e+11	9.82662e+06	0.000743877	0	3.16111e-16
	 	 	6	2.99361e-07	2.54325e+11	9.82662e+06	0.000743877	0	-1.73861e-15
	 	 	7	3.72249e-08	2.54325e+11	9.82662e+06	0.000743877	0	2.21278e-15
	 	 	8	4.00008e-09	2.54325e+11	9.82662e+06	0.000743877	0	-7.90277e-16
	 4	9.73903e-05	9.82662e+06	0.426371	0.904548	2.12151	0.000743877	-3.59574e-16	-7.90277e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54301e+11	9.82551e+06	0.000745767	0	-2.68694e-15
	 	 	2	0.0028771	2.53572e+11	9.83472e+06	0.000743164	0	-7.90277e-16
	 	 	3	0.00221266	2.54134e+11	9.83102e+06	0.000743751	0	-6.32222e-16
	 	 	4	0.000577622	2.54281e+11	9.8307e+06	0.00074384	0	-1.89666e-15
	 	 	5	0.000166668	2.54323e+11	9.83073e+06	0.000743845	0	1.10639e-15
