HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L0.8_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../../Corotating_planet_grid/M1.0_fcore0.3_S4.0c/M1.0_fcore0.3_S4.0c_AM0.0/Output/M1.0_fcore0.3_S4.0c_L0_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.89596e+11	6.59137e+06	0.000321773	0	-3.26607e-16
	 	 	2	0.00873929	3.93031e+11	6.5308e+06	0.000335909	0	3.26607e-15
	 	 	3	0.00922924	3.89437e+11	6.50756e+06	0.000342633	0	-8.16517e-16
	 	 	4	0.00986846	3.85631e+11	6.49786e+06	0.000345841	0	-1.30643e-15
	 	 	5	0.00673391	3.83051e+11	6.49312e+06	0.000347445	0	-2.61285e-15
	 	 	6	0.0038656	3.81576e+11	6.49046e+06	0.000348331	0	2.12294e-15
	 	 	7	0.0021286	3.80766e+11	6.48925e+06	0.000348832	0	1.46973e-15
	 	 	8	0.00134227	3.80256e+11	6.48872e+06	0.000349049	0	-3.26607e-16
	 	 	9	0.000707046	3.79987e+11	6.48837e+06	0.000349175	0	-8.16517e-16
	 	 	10	0.000360917	3.7985e+11	6.48815e+06	0.00034925	0	2.12294e-15
	 	 	11	0.000188894	3.79778e+11	6.48802e+06	0.000349293	0	6.53213e-16
	 	 	12	0.000102229	3.79739e+11	6.48794e+06	0.000349318	0	-8.16517e-16
	 	 	13	5.63913e-05	3.79718e+11	6.4879e+06	0.000349331	0	1.63303e-16
	 	 	14	3.13271e-05	3.79706e+11	6.48788e+06	0.000349339	0	-9.7982e-16
	 	 	15	1.74323e-05	3.79699e+11	6.48786e+06	0.000349343	0	-1.63303e-16
	 	 	16	9.70095e-06	3.79696e+11	6.48786e+06	0.000349345	0	-6.53213e-16
	 	 	17	5.39751e-06	3.79694e+11	6.48785e+06	0.000349346	0	-4.8991e-16
	 	 	18	3.00277e-06	3.79692e+11	6.48785e+06	0.000349347	0	1.63303e-16
	 	 	19	1.67044e-06	3.79692e+11	6.48785e+06	0.000349348	0	0
	 	 	20	9.29255e-07	3.79691e+11	6.48785e+06	0.000349348	0	-2.44955e-15
	 	 	21	5.1694e-07	3.79691e+11	6.48785e+06	0.000349348	0	9.7982e-16
	 	 	22	2.87571e-07	3.79691e+11	6.48785e+06	0.000349348	0	2.77616e-15
	 	 	23	1.59975e-07	3.79691e+11	6.48785e+06	0.000349348	0	3.42937e-15
	 	 	24	8.8994e-08	3.79691e+11	6.48785e+06	0.000349348	0	-2.28625e-15
