HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L2_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../../Corotating_planet_grid/M1.0_fcore0.3_S4.0c/M1.0_fcore0.3_S4.0c_AM0.0/Output/M1.0_fcore0.3_S4.0c_L0_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.89596e+11	6.59137e+06	0.000804433	0	-2.61285e-16
	 	 	2	0.228183	3.17213e+11	6.66079e+06	0.000806985	0	-1.30643e-16
	 	 	3	0.106257	2.86745e+11	6.68724e+06	0.000804683	0	-5.22571e-16
	 	 	4	0.0448081	2.74447e+11	6.69249e+06	0.000805647	0	-2.61285e-16
	 	 	5	0.0200256	2.69059e+11	6.69198e+06	0.00080758	0	-1.30643e-16
	 	 	6	0.0101916	2.66345e+11	6.69109e+06	0.000809081	0	-6.53213e-16
	 	 	7	0.00593402	2.64774e+11	6.69065e+06	0.000809925	0	6.53213e-16
	 	 	8	0.00333745	2.63893e+11	6.69029e+06	0.000810462	0	-1.69835e-15
	 	 	9	0.00192228	2.63387e+11	6.69025e+06	0.000810748	0	1.30643e-15
	 	 	10	0.00131928	2.63039e+11	6.69041e+06	0.000810809	0	-2.61285e-16
	 	 	11	0.000720228	2.6285e+11	6.69043e+06	0.000810861	0	1.30643e-15
	 	 	12	0.000358222	2.62756e+11	6.69039e+06	0.000810916	0	-6.53213e-16
	 	 	13	0.000200821	2.62703e+11	6.69036e+06	0.000810951	0	0
	 	 	14	0.000118632	2.62672e+11	6.69035e+06	0.00081097	0	1.30643e-16
	 	 	15	6.98991e-05	2.62654e+11	6.69035e+06	0.000810981	0	-7.83856e-16
	 	 	16	4.0635e-05	2.62643e+11	6.69034e+06	0.000810987	0	5.22571e-16
	 	 	17	2.34652e-05	2.62637e+11	6.69034e+06	0.000810991	0	1.30643e-15
	 	 	18	1.35398e-05	2.62633e+11	6.69034e+06	0.000810993	0	-7.83856e-16
	 	 	19	7.82075e-06	2.62631e+11	6.69034e+06	0.000810994	0	2.61285e-16
	 	 	20	4.52063e-06	2.6263e+11	6.69034e+06	0.000810995	0	-1.56771e-15
	 	 	21	2.61351e-06	2.62629e+11	6.69034e+06	0.000810995	0	1.30643e-16
	 	 	22	1.51084e-06	2.62629e+11	6.69034e+06	0.000810995	0	1.30643e-16
	 	 	23	8.7334e-07	2.62629e+11	6.69034e+06	0.000810995	0	0
	 	 	24	5.0482e-07	2.62629e+11	6.69034e+06	0.000810996	0	6.53213e-16
	 	 	25	2.91803e-07	2.62629e+11	6.69034e+06	0.000810996	0	7.83856e-16
	 	 	26	1.68673e-07	2.62629e+11	6.69034e+06	0.000810996	0	-1.04514e-15
	 	 	27	9.74999e-08	2.62629e+11	6.69034e+06	0.000810996	0	-1.56771e-15
	 	 	28	5.6359e-08	2.62629e+11	6.69034e+06	0.000810996	0	-1.17578e-15
	 	 	29	3.25777e-08	2.62629e+11	6.69034e+06	0.000810996	0	1.04514e-15
	 	 	30	1.88314e-08	2.62629e+11	6.69034e+06	0.000810996	0	-1.04514e-15
	 	 	31	1.08853e-08	2.62629e+11	6.69034e+06	0.000810996	0	3.65799e-15
	 	 	32	6.29193e-09	2.62629e+11	6.69034e+06	0.000810996	0	7.83856e-16
	 1	0.0639338	6.69034e+06	1	0.000284972	0.000284972	0.000810996	1.59079e-09	7.83856e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.34398e+11	7.267e+06	0.000747592	0	-2.48221e-15
	 	 	2	0.0981139	2.59897e+11	7.29719e+06	0.000721021	0	-5.22571e-16
	 	 	3	0.0680881	2.78886e+11	7.30219e+06	0.000710292	0	-1.43707e-15
	 	 	4	0.0416323	2.91001e+11	7.3019e+06	0.000705801	0	-1.30643e-16
	 	 	5	0.0228957	2.9782e+11	7.30193e+06	0.000703391	0	1.69835e-15
	 	 	6	0.0123207	3.01535e+11	7.30208e+06	0.000702052	0	-2.7435e-15
	 	 	7	0.00658513	3.03534e+11	7.30237e+06	0.000701298	0	9.14499e-16
	 	 	8	0.00340502	3.04571e+11	7.30492e+06	0.000699775	0	1.56771e-15
	 	 	9	0.00283764	3.05438e+11	7.30291e+06	0.000700277	0	6.53213e-16
	 	 	10	0.000952441	3.05729e+11	7.30245e+06	0.000700414	0	-1.30643e-15
	 	 	11	0.000309531	3.05823e+11	7.30239e+06	0.000700437	0	-7.83856e-16
	 	 	12	8.79712e-05	3.0585e+11	7.30238e+06	0.000700441	0	0
	 	 	13	2.19596e-05	3.05857e+11	7.30238e+06	0.000700441	0	-5.22571e-16
	 	 	14	4.94675e-06	3.05859e+11	7.30238e+06	0.000700442	0	1.43707e-15
	 	 	15	1.03396e-06	3.05859e+11	7.30238e+06	0.000700442	0	-1.17578e-15
	 	 	16	2.04549e-07	3.05859e+11	7.30238e+06	0.000700442	0	-1.30643e-16
	 	 	17	3.87658e-08	3.05859e+11	7.30238e+06	0.000700442	0	-2.7435e-15
	 	 	18	7.08654e-09	3.05859e+11	7.30238e+06	0.000700442	0	1.43707e-15
	 2	0.0268399	7.30238e+06	0.754369	0.65645	0.870197	0.000700442	0	1.43707e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.92016e+11	7.51124e+06	0.000663334	0	3.00478e-15
	 	 	2	0.0560439	3.09354e+11	7.48245e+06	0.000668476	0	1.43707e-15
	 	 	3	0.0186839	3.15244e+11	7.4718e+06	0.00067171	0	3.65799e-15
	 	 	4	0.00426811	3.16595e+11	7.47426e+06	0.000670662	0	-2.61285e-16
	 	 	5	0.00226091	3.17312e+11	7.47334e+06	0.000670877	0	2.61285e-16
	 	 	6	0.00064516	3.17517e+11	7.47076e+06	0.000671986	0	-5.22571e-16
	 	 	7	0.000843199	3.1725e+11	7.47393e+06	0.000670768	0	2.48221e-15
	 	 	8	0.000713647	3.17476e+11	7.47331e+06	0.000670892	0	2.61285e-15
	 	 	9	0.000248295	3.17555e+11	7.47319e+06	0.000670921	0	7.83856e-16
	 	 	10	7.7138e-05	3.1758e+11	7.47317e+06	0.000670927	0	1.30643e-15
	 	 	11	2.12951e-05	3.17586e+11	7.47317e+06	0.000670928	0	-1.17578e-15
	 	 	12	5.33424e-06	3.17588e+11	7.47317e+06	0.000670928	0	-3.91928e-16
	 	 	13	1.23213e-06	3.17588e+11	7.47317e+06	0.000670928	0	-1.56771e-15
	 	 	14	2.65946e-07	3.17589e+11	7.47317e+06	0.000670928	0	3.91928e-16
	 	 	15	5.42234e-08	3.17589e+11	7.47317e+06	0.000670928	0	-3.26607e-15
