HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L3.3_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../Earth_correct_params_S3.20c/Earth_correct_params_S3.20c_AM3.0/Output/Earth_correct_params_S3.20c_L3_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	11	5.5108e-07	2.53328e+11	9.64516e+06	0.00074623	0	-1.10848e-15
	 	 	12	8.13367e-08	2.53328e+11	9.64516e+06	0.00074623	0	-1.7419e-15
	 	 	13	1.05543e-08	2.53328e+11	9.64516e+06	0.00074623	0	-7.91774e-16
	 	 	14	1.21387e-09	2.53328e+11	9.64516e+06	0.00074623	0	-1.26684e-15
	 4	0.00147791	9.64516e+06	0.434346	0.900746	2.0738	0.00074623	3.59574e-16	-1.26684e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.53194e+11	9.66083e+06	0.000751136	0	7.91774e-16
	 	 	2	0.00746711	2.51318e+11	9.67873e+06	0.000746538	0	-2.05861e-15
	 	 	3	0.00229434	2.51896e+11	9.68238e+06	0.000744145	0	-4.75064e-16
	 	 	4	0.00526849	2.5323e+11	9.67596e+06	0.000745318	0	-6.33419e-16
	 	 	5	0.00142984	2.53592e+11	9.67555e+06	0.00074547	0	-1.26684e-15
	 	 	6	0.000411624	2.53697e+11	9.67562e+06	0.000745475	0	-1.58355e-15
	 	 	7	0.000110747	2.53725e+11	9.67565e+06	0.000745473	0	-1.90026e-15
	 	 	8	2.59957e-05	2.53732e+11	9.67565e+06	0.000745472	0	-1.42519e-15
	 	 	9	5.24324e-06	2.53733e+11	9.67566e+06	0.000745472	0	1.10848e-15
	 	 	10	9.11603e-07	2.53733e+11	9.67566e+06	0.000745472	0	9.50128e-16
	 	 	11	1.37359e-07	2.53733e+11	9.67566e+06	0.000745472	0	2.85039e-15
	 	 	12	1.80003e-08	2.53733e+11	9.67566e+06	0.000745472	0	-4.75064e-16
	 	 	13	2.06285e-09	2.53733e+11	9.67566e+06	0.000745472	0	-4.75064e-16
	 5	0.000701657	9.67566e+06	0.433042	0.901374	2.08149	0.000745472	1.79787e-16	-4.75064e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.5368e+11	9.68474e+06	0.000749623	0	-6.33419e-16
	 	 	2	0.00634381	2.52081e+11	9.69941e+06	0.000745898	0	1.58355e-15
	 	 	3	0.00170717	2.52512e+11	9.70232e+06	0.000743991	0	-1.42519e-15
	 	 	4	0.00415684	2.53566e+11	9.69717e+06	0.000744927	0	-1.58355e-15
	 	 	5	0.00112892	2.53853e+11	9.69684e+06	0.000745048	0	-3.16709e-16
	 	 	6	0.000325189	2.53935e+11	9.6969e+06	0.000745052	0	-9.50128e-16
	 	 	7	8.7546e-05	2.53958e+11	9.69692e+06	0.00074505	0	0
	 	 	8	2.0557e-05	2.53963e+11	9.69693e+06	0.000745049	0	-1.26684e-15
	 	 	9	4.1438e-06	2.53964e+11	9.69693e+06	0.000745049	0	9.50128e-16
	 	 	10	7.189e-07	2.53964e+11	9.69693e+06	0.000745049	0	7.91774e-16
	 	 	11	1.07867e-07	2.53964e+11	9.69693e+06	0.000745049	0	3.16709e-16
	 	 	12	1.40413e-08	2.53964e+11	9.69693e+06	0.000745049	0	-3.16709e-16
	 	 	13	1.59504e-09	2.53964e+11	9.69693e+06	0.000745049	0	9.50128e-16
	 6	0.000412666	9.69693e+06	0.432151	0.901801	2.08678	0.000745049	-1.79787e-16	9.50128e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.5393e+11	9.70347e+06	0.000748176	0	-1.10848e-15
	 	 	2	0.00475776	2.52727e+11	9.71444e+06	0.000745411	0	-6.33419e-16
	 	 	3	0.00122987	2.53039e+11	9.71662e+06	0.000743991	0	-1.10848e-15
	 	 	4	0.0030772	2.5382e+11	9.71278e+06	0.000744686	0	-1.7419e-15
	 	 	5	0.000835413	2.54032e+11	9.71253e+06	0.000744777	0	0
