HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L0.4_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../../Corotating_planet_grid/M1.0_fcore0.3_S4.0c/M1.0_fcore0.3_S4.0c_AM0.0/Output/M1.0_fcore0.3_S4.0c_L0_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.89596e+11	6.59137e+06	0.000160887	0	-3.26607e-16
	 	 	2	0.0353236	4.03862e+11	6.51463e+06	0.000168773	0	2.12294e-15
	 	 	3	0.00277898	4.04987e+11	6.48513e+06	0.000172621	0	4.8991e-16
	 	 	4	0.00489432	4.03015e+11	6.47319e+06	0.000174408	0	2.12294e-15
	 	 	5	0.00458287	4.01176e+11	6.46762e+06	0.000175283	0	1.95964e-15
	 	 	6	0.00291292	4.00011e+11	6.46499e+06	0.000175754	0	-3.26607e-16
	 	 	7	0.00182897	3.99281e+11	6.46367e+06	0.000175979	0	-8.16517e-16
	 	 	8	0.000975655	3.98892e+11	6.46288e+06	0.000176107	0	-1.46973e-15
	 	 	9	0.000508004	3.98689e+11	6.46241e+06	0.00017618	0	0
	 	 	10	0.000270471	3.98581e+11	6.46215e+06	0.000176221	0	1.95964e-15
	 	 	11	0.00014707	3.98523e+11	6.46201e+06	0.000176244	0	2.28625e-15
	 	 	12	8.08279e-05	3.9849e+11	6.46193e+06	0.000176256	0	-1.14312e-15
	 	 	13	4.45984e-05	3.98473e+11	6.46188e+06	0.000176263	0	-2.44955e-15
	 	 	14	2.46358e-05	3.98463e+11	6.46186e+06	0.000176267	0	-3.26607e-16
	 	 	15	1.36116e-05	3.98457e+11	6.46185e+06	0.000176269	0	1.46973e-15
	 	 	16	7.52067e-06	3.98454e+11	6.46184e+06	0.000176271	0	1.30643e-15
	 	 	17	4.15525e-06	3.98453e+11	6.46183e+06	0.000176271	0	-1.95964e-15
	 	 	18	2.29581e-06	3.98452e+11	6.46183e+06	0.000176272	0	-3.26607e-16
	 	 	19	1.26845e-06	3.98451e+11	6.46183e+06	0.000176272	0	-1.79634e-15
	 	 	20	7.00834e-07	3.98451e+11	6.46183e+06	0.000176272	0	1.79634e-15
	 	 	21	3.87219e-07	3.98451e+11	6.46183e+06	0.000176272	0	0
	 	 	22	2.13944e-07	3.98451e+11	6.46183e+06	0.000176272	0	1.30643e-15
	 	 	23	1.18206e-07	3.98451e+11	6.46183e+06	0.000176272	0	1.14312e-15
	 	 	24	6.53105e-08	3.98451e+11	6.46183e+06	0.000176272	0	1.95964e-15
	 	 	25	3.6085e-08	3.98451e+11	6.46183e+06	0.000176272	0	1.95964e-15
	 	 	26	1.99374e-08	3.98451e+11	6.46183e+06	0.000176272	0	-1.63303e-16
	 	 	27	1.10159e-08	3.98451e+11	6.46183e+06	0.000176272	0	-1.63303e-15
	 	 	28	6.08631e-09	3.98451e+11	6.46183e+06	0.000176272	0	-3.26607e-15
	 1	0.0137295	6.46183e+06	1	0.000284972	0.000284972	0.000176272	4.13297e-09	-3.26607e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.97255e+11	6.48496e+06	0.000175078	0	-2.12294e-15
	 	 	2	0.00372569	3.98741e+11	6.48324e+06	0.000175187	0	1.14312e-15
	 	 	3	0.00126531	3.99246e+11	6.48286e+06	0.000175214	0	-1.95964e-15
	 	 	4	0.000371147	3.99394e+11	6.48277e+06	0.000175221	0	6.53213e-16
