HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L0.2_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../../Corotating_planet_grid/M1.0_fcore0.3_S4.0c/M1.0_fcore0.3_S4.0c_AM0.0/Output/M1.0_fcore0.3_S4.0c_L0_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.89596e+11	6.59137e+06	8.04433e-05	0	-3.26607e-16
	 	 	2	0.0417484	4.0657e+11	6.51084e+06	8.4489e-05	0	2.12294e-15
	 	 	3	0.005627	4.0887e+11	6.47984e+06	8.64635e-05	0	3.26607e-15
	 	 	4	0.00362507	4.07393e+11	6.46718e+06	8.73801e-05	0	1.63303e-16
	 	 	5	0.00396935	4.05783e+11	6.46156e+06	8.78361e-05	0	-6.53213e-16
	 	 	6	0.00280049	4.0465e+11	6.45878e+06	8.806e-05	0	2.93946e-15
	 	 	7	0.00159271	4.04006e+11	6.45722e+06	8.81837e-05	0	-1.14312e-15
	 	 	8	0.000860528	4.03659e+11	6.45633e+06	8.82528e-05	0	-1.30643e-15
	 	 	9	0.000465904	4.03471e+11	6.45584e+06	8.82912e-05	0	0
	 	 	10	0.000254503	4.03368e+11	6.45556e+06	8.83125e-05	0	1.46973e-15
	 	 	11	0.000139974	4.03312e+11	6.45541e+06	8.83243e-05	0	3.26607e-16
	 	 	12	7.71933e-05	4.0328e+11	6.45533e+06	8.83308e-05	0	0
	 	 	13	4.26058e-05	4.03263e+11	6.45528e+06	8.83344e-05	0	-3.26607e-16
	 	 	14	2.35216e-05	4.03254e+11	6.45526e+06	8.83363e-05	0	2.44955e-15
	 	 	15	1.29918e-05	4.03249e+11	6.45524e+06	8.83374e-05	0	3.26607e-16
	 	 	16	7.17552e-06	4.03246e+11	6.45524e+06	8.8338e-05	0	1.63303e-16
	 	 	17	3.96248e-06	4.03244e+11	6.45523e+06	8.83384e-05	0	-1.63303e-15
	 	 	18	2.18797e-06	4.03243e+11	6.45523e+06	8.83386e-05	0	-1.63303e-15
	 	 	19	1.20809e-06	4.03243e+11	6.45523e+06	8.83387e-05	0	-3.42937e-15
	 	 	20	6.67049e-07	4.03242e+11	6.45523e+06	8.83387e-05	0	-2.12294e-15
	 	 	21	3.68311e-07	4.03242e+11	6.45523e+06	8.83387e-05	0	6.53213e-16
	 	 	22	2.03364e-07	4.03242e+11	6.45523e+06	8.83388e-05	0	-1.63303e-16
	 	 	23	1.12288e-07	4.03242e+11	6.45523e+06	8.83388e-05	0	2.93946e-15
	 	 	24	6.19998e-08	4.03242e+11	6.45523e+06	8.83388e-05	0	1.14312e-15
	 	 	25	3.42334e-08	4.03242e+11	6.45523e+06	8.83388e-05	0	0
	 	 	26	1.89021e-08	4.03242e+11	6.45523e+06	8.83388e-05	0	-1.63303e-15
	 	 	27	1.04371e-08	4.03242e+11	6.45523e+06	8.83388e-05	0	1.63303e-16
	 	 	28	5.76271e-09	4.03242e+11	6.45523e+06	8.83388e-05	0	6.53213e-16
