HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L0.6_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../../Corotating_planet_grid/M1.0_fcore0.3_S4.0c/M1.0_fcore0.3_S4.0c_AM0.0/Output/M1.0_fcore0.3_S4.0c_L0_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.89596e+11	6.59137e+06	0.00024133	0	3.26607e-15
	 	 	2	0.0244221	3.99349e+11	6.52137e+06	0.000252654	0	4.35476e-16
	 	 	3	0.00220198	3.98471e+11	6.49436e+06	0.000258114	0	-8.70951e-16
	 	 	4	0.00690103	3.9574e+11	6.48325e+06	0.000260697	0	1.30643e-15
	 	 	5	0.00545778	3.93592e+11	6.47824e+06	0.000261975	0	-6.53213e-16
	 	 	6	0.00345316	3.92238e+11	6.47572e+06	0.000262624	0	-1.52416e-15
	 	 	7	0.00193866	3.91479e+11	6.47429e+06	0.000262979	0	8.70951e-16
	 	 	8	0.00103501	3.91074e+11	6.47345e+06	0.00026318	0	1.7419e-15
	 	 	9	0.000556218	3.90857e+11	6.47298e+06	0.000263294	0	0
	 	 	10	0.000303878	3.90738e+11	6.47272e+06	0.000263357	0	6.53213e-16
	 	 	11	0.000167432	3.90673e+11	6.47257e+06	0.000263392	0	1.08869e-15
	 	 	12	9.25896e-05	3.90636e+11	6.47249e+06	0.000263411	0	0
	 	 	13	5.12607e-05	3.90616e+11	6.47245e+06	0.000263422	0	6.53213e-16
	 	 	14	2.83873e-05	3.90605e+11	6.47242e+06	0.000263428	0	1.7419e-15
	 	 	15	1.57211e-05	3.90599e+11	6.47241e+06	0.000263431	0	1.30643e-15
	 	 	16	8.70652e-06	3.90596e+11	6.4724e+06	0.000263433	0	-2.17738e-16
	 	 	17	4.82179e-06	3.90594e+11	6.4724e+06	0.000263434	0	1.08869e-15
	 	 	18	2.6704e-06	3.90593e+11	6.47239e+06	0.000263434	0	2.17738e-16
	 	 	19	1.47892e-06	3.90592e+11	6.47239e+06	0.000263435	0	-1.52416e-15
	 	 	20	8.19064e-07	3.90592e+11	6.47239e+06	0.000263435	0	-4.35476e-16
	 	 	21	4.53619e-07	3.90592e+11	6.47239e+06	0.000263435	0	-8.70951e-16
	 	 	22	2.51226e-07	3.90592e+11	6.47239e+06	0.000263435	0	-6.53213e-16
	 	 	23	1.39136e-07	3.90592e+11	6.47239e+06	0.000263435	0	2.17738e-16
	 	 	24	7.70573e-08	3.90592e+11	6.47239e+06	0.000263435	0	-1.52416e-15
	 	 	25	4.26759e-08	3.90592e+11	6.47239e+06	0.000263435	0	3.04833e-15
	 	 	26	2.36354e-08	3.90592e+11	6.47239e+06	0.000263435	0	-6.53213e-16
	 	 	27	1.309e-08	3.90591e+11	6.47239e+06	0.000263435	0	-8.70951e-16
	 	 	28	7.24927e-09	3.90591e+11	6.47239e+06	0.000263435	0	6.53213e-16
	 1	0.0176313	6.47239e+06	1	0.000284972	0.000284972	0.000263435	4.51616e-09	6.53213e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.87906e+11	6.52507e+06	0.000259411	0	-1.7419e-15
	 	 	2	0.00872108	3.91319e+11	6.52094e+06	0.000259795	0	0
	 	 	3	0.00295143	3.92477e+11	6.52004e+06	0.000259892	0	-2.61285e-15
	 	 	4	0.000865383	3.92817e+11	6.51984e+06	0.000259914	0	1.08869e-15
	 	 	5	0.00023116	3.92908e+11	6.5198e+06	0.000259919	0	2.61285e-15
	 	 	6	5.84023e-05	3.92931e+11	6.51979e+06	0.000259921	0	-1.95964e-15
	 	 	7	1.4243e-05	3.92936e+11	6.51979e+06	0.000259921	0	-1.95964e-15
	 	 	8	3.39481e-06	3.92938e+11	6.51978e+06	0.000259921	0	0
	 	 	9	7.97506e-07	3.92938e+11	6.51978e+06	0.000259921	0	-8.70951e-16
	 	 	10	1.85706e-07	3.92938e+11	6.51978e+06	0.000259921	0	-2.17738e-16
	 	 	11	4.30193e-08	3.92938e+11	6.51978e+06	0.000259921	0	-4.35476e-16
	 	 	12	9.93558e-09	3.92938e+11	6.51978e+06	0.000259921	0	-1.08869e-15
	 2	0.00222091	6.51978e+06	0.976446	0.215762	0.220967	0.000259921	0	-1.08869e-15
