HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L1.4_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../../Corotating_planet_grid/M1.0_fcore0.3_S4.0c/M1.0_fcore0.3_S4.0c_AM0.0/Output/M1.0_fcore0.3_S4.0c_L0_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.89596e+11	6.59137e+06	0.000563103	0	9.33162e-16
	 	 	2	0.0725421	3.63245e+11	6.57783e+06	0.000579475	0	7.4653e-16
	 	 	3	0.0443492	3.4782e+11	6.57275e+06	0.000586411	0	3.73265e-16
	 	 	4	0.0237406	3.39754e+11	6.56927e+06	0.000590146	0	1.30643e-15
	 	 	5	0.0124911	3.35562e+11	6.56693e+06	0.000592275	0	1.86632e-16
	 	 	6	0.00664364	3.33348e+11	6.56534e+06	0.0005935	0	9.33162e-16
	 	 	7	0.00349445	3.32187e+11	6.56426e+06	0.000594248	0	-2.05296e-15
	 	 	8	0.00189837	3.31557e+11	6.56368e+06	0.000594685	0	-5.59897e-16
	 	 	9	0.00111865	3.31187e+11	6.56352e+06	0.000594901	0	0
	 	 	10	0.000712167	3.30951e+11	6.56355e+06	0.000594978	0	-1.49306e-15
	 	 	11	0.000402529	3.30818e+11	6.56355e+06	0.000595012	0	9.33162e-16
	 	 	12	0.000188229	3.30756e+11	6.56351e+06	0.000595042	0	1.11979e-15
	 	 	13	9.32462e-05	3.30725e+11	6.56348e+06	0.000595062	0	-1.67969e-15
	 	 	14	5.02026e-05	3.30708e+11	6.56346e+06	0.000595074	0	-9.33162e-16
	 	 	15	2.81441e-05	3.30699e+11	6.56345e+06	0.00059508	0	-5.59897e-16
	 	 	16	1.59052e-05	3.30694e+11	6.56345e+06	0.000595084	0	-1.49306e-15
	 	 	17	8.96681e-06	3.30691e+11	6.56345e+06	0.000595086	0	-1.86632e-15
	 	 	18	5.04069e-06	3.30689e+11	6.56345e+06	0.000595087	0	-1.86632e-15
	 	 	19	2.82979e-06	3.30688e+11	6.56344e+06	0.000595088	0	2.42622e-15
	 	 	20	1.58808e-06	3.30688e+11	6.56344e+06	0.000595088	0	-9.33162e-16
	 	 	21	8.91257e-07	3.30687e+11	6.56344e+06	0.000595088	0	-3.73265e-15
	 	 	22	5.00224e-07	3.30687e+11	6.56344e+06	0.000595088	0	3.73265e-16
	 	 	23	2.80766e-07	3.30687e+11	6.56344e+06	0.000595088	0	3.17275e-15
	 	 	24	1.57591e-07	3.30687e+11	6.56344e+06	0.000595088	0	-9.33162e-16
	 	 	25	8.84535e-08	3.30687e+11	6.56344e+06	0.000595088	0	-9.33162e-16
	 	 	26	4.96475e-08	3.30687e+11	6.56344e+06	0.000595088	0	-4.29254e-15
	 	 	27	2.7867e-08	3.30687e+11	6.56344e+06	0.000595088	0	-1.11979e-15
	 	 	28	1.56412e-08	3.30687e+11	6.56344e+06	0.000595088	0	-7.4653e-16
	 	 	29	8.77915e-09	3.30687e+11	6.56344e+06	0.000595088	0	7.4653e-16
	 1	0.0430898	6.56344e+06	1	0.000284972	0.000284972	0.000595088	3.1975e-09	7.4653e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.16335e+11	6.83499e+06	0.000562684	0	-2.61285e-15
	 	 	2	0.0489067	3.32601e+11	6.82958e+06	0.000559623	0	5.59897e-16
	 	 	3	0.0223874	3.40218e+11	6.83087e+06	0.000557319	0	-2.23959e-15
	 	 	4	0.0104769	3.4382e+11	6.8327e+06	0.000555744	0	-1.86632e-15
	 	 	5	0.00530788	3.45655e+11	6.83401e+06	0.000554836	0	-1.11979e-15
	 	 	6	0.00270065	3.46591e+11	6.83491e+06	0.00055428	0	-5.41234e-15
	 	 	7	0.00143938	3.4709e+11	6.8368e+06	0.00055342	0	-7.4653e-16
	 	 	8	0.00122182	3.47515e+11	6.83618e+06	0.000553541	0	-9.33162e-16
	 	 	9	0.000400766	3.47654e+11	6.83606e+06	0.00055357	0	-2.42622e-15
	 	 	10	0.000115966	3.47695e+11	6.83604e+06	0.000553576	0	1.11979e-15
	 	 	11	3.04919e-05	3.47705e+11	6.83603e+06	0.000553578	0	-3.73265e-16
	 	 	12	7.50151e-06	3.47708e+11	6.83603e+06	0.000553578	0	-2.42622e-15
	 	 	13	1.75876e-06	3.47708e+11	6.83603e+06	0.000553578	0	1.86632e-16
	 	 	14	3.98098e-07	3.47709e+11	6.83603e+06	0.000553578	0	1.86632e-16
	 	 	15	8.78593e-08	3.47709e+11	6.83603e+06	0.000553578	0	2.79949e-15
	 	 	16	1.90459e-08	3.47709e+11	6.83603e+06	0.000553578	0	5.59897e-16
	 	 	17	4.07689e-09	3.47709e+11	6.83603e+06	0.000553578	0	-5.59897e-16
	 2	0.0117173	6.83603e+06	0.875218	0.483728	0.552695	0.000553578	-1.79787e-16	-5.59897e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.396e+11	6.95079e+06	0.000537491	0	2.05296e-15
	 	 	2	0.0274999	3.49204e+11	6.94096e+06	0.000538606	0	2.05296e-15
	 	 	3	0.00929964	3.52481e+11	6.93893e+06	0.000538705	0	1.11979e-15
	 	 	4	0.00335016	3.53666e+11	6.94065e+06	0.000537878	0	7.4653e-16
	 	 	5	0.0018088	3.54307e+11	6.9399e+06	0.000538025	0	1.86632e-16
	 	 	6	0.000555568	3.54504e+11	6.93975e+06	0.000538059	0	-3.54602e-15
	 	 	7	0.000153094	3.54558e+11	6.93973e+06	0.000538066	0	-9.33162e-16
	 	 	8	3.88061e-05	3.54572e+11	6.93972e+06	0.000538068	0	5.59897e-16
	 	 	9	9.2744e-06	3.54575e+11	6.93972e+06	0.000538068	0	-1.86632e-16
	 	 	10	2.12367e-06	3.54576e+11	6.93972e+06	0.000538068	0	2.23959e-15
	 	 	11	4.71216e-07	3.54576e+11	6.93972e+06	0.000538068	0	9.33162e-16
	 	 	12	1.02193e-07	3.54576e+11	6.93972e+06	0.000538068	0	-9.33162e-16
	 	 	13	2.18025e-08	3.54576e+11	6.93972e+06	0.000538068	0	-9.33162e-16
	 	 	14	4.59755e-09	3.54576e+11	6.93972e+06	0.000538068	0	-2.42622e-15
	 3	0.00589657	6.93972e+06	0.834944	0.550335	0.659127	0.000538068	-1.79787e-16	-2.42622e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.50554e+11	6.98805e+06	0.000530458	0	-2.61285e-15
	 	 	2	0.0139178	3.55502e+11	6.98188e+06	0.000531555	0	-1.86632e-16
	 	 	3	0.00398628	3.56924e+11	6.98061e+06	0.000531818	0	-9.33162e-16
	 	 	4	0.00108979	3.57314e+11	6.98023e+06	0.000531903	0	1.11979e-15
	 	 	5	0.00030544	3.57423e+11	6.98011e+06	0.000531928	0	1.86632e-16
	 	 	6	8.90416e-05	3.57455e+11	6.98008e+06	0.000531936	0	0
	 	 	7	2.6487e-05	3.57464e+11	6.98007e+06	0.000531938	0	-2.98612e-15
	 	 	8	7.88829e-06	3.57467e+11	6.98007e+06	0.000531939	0	0
	 	 	9	2.3336e-06	3.57468e+11	6.98007e+06	0.000531939	0	-5.59897e-16
	 	 	10	6.85334e-07	3.57468e+11	6.98007e+06	0.000531939	0	1.86632e-15
	 	 	11	2.00146e-07	3.57468e+11	6.98007e+06	0.000531939	0	-1.30643e-15
	 	 	12	5.8228e-08	3.57468e+11	6.98007e+06	0.000531939	0	9.33162e-16
	 	 	13	1.68976e-08	3.57468e+11	6.98007e+06	0.000531939	0	-3.17275e-15
	 	 	14	4.89568e-09	3.57468e+11	6.98007e+06	0.000531939	0	-1.86632e-16
	 4	0.00258807	6.98007e+06	0.820086	0.57224	0.697781	0.000531939	0	-1.86632e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.55603e+11	6.9996e+06	0.000528778	0	-1.86632e-15
	 	 	2	0.00621022	3.57825e+11	6.99665e+06	0.000529301	0	1.49306e-15
	 	 	3	0.0017597	3.58456e+11	6.99574e+06	0.000529486	0	-7.4653e-16
	 	 	4	0.00054012	3.5865e+11	6.99557e+06	0.000529523	0	1.67969e-15
	 	 	5	0.000156083	3.58706e+11	6.99554e+06	0.000529531	0	0
	 	 	6	4.10255e-05	3.58721e+11	6.99554e+06	0.000529532	0	-7.4653e-16
	 	 	7	9.94298e-06	3.58724e+11	6.99554e+06	0.000529532	0	3.73265e-16
	 	 	8	2.27654e-06	3.58725e+11	6.99554e+06	0.000529533	0	-1.30643e-15
	 	 	9	5.02317e-07	3.58725e+11	6.99554e+06	0.000529533	0	2.42622e-15
	 	 	10	1.08208e-07	3.58725e+11	6.99554e+06	0.000529533	0	-1.30643e-15
	 	 	11	2.29387e-08	3.58725e+11	6.99554e+06	0.000529533	0	1.30643e-15
	 	 	12	4.80906e-09	3.58725e+11	6.99554e+06	0.000529533	0	7.4653e-16
	 5	0.000965392	6.99554e+06	0.814299	0.580446	0.712818	0.000529533	1.79787e-16	7.4653e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.57891e+11	7.00363e+06	0.000528183	0	-5.59897e-16
	 	 	2	0.0026963	3.58859e+11	7.00224e+06	0.000528431	0	-7.4653e-16
	 	 	3	0.000765485	3.59133e+11	7.00197e+06	0.000528485	0	1.49306e-15
	 	 	4	0.000214029	3.5921e+11	7.00192e+06	0.000528497	0	-2.05296e-15
	 	 	5	5.68478e-05	3.59231e+11	7.00191e+06	0.000528499	0	-2.79949e-15
	 	 	6	1.41404e-05	3.59236e+11	7.00191e+06	0.0005285	0	-2.05296e-15
	 	 	7	3.32474e-06	3.59237e+11	7.00191e+06	0.0005285	0	-9.33162e-16
	 	 	8	7.49844e-07	3.59237e+11	7.00191e+06	0.0005285	0	-5.59897e-16
	 	 	9	1.64226e-07	3.59237e+11	7.00191e+06	0.0005285	0	9.33162e-16
	 	 	10	3.52386e-08	3.59237e+11	7.00191e+06	0.0005285	0	5.59897e-16
	 	 	11	7.45329e-09	3.59237e+11	7.00191e+06	0.0005285	0	1.30643e-15
	 6	0.000437082	7.00191e+06	0.811971	0.583698	0.718865	0.0005285	1.79787e-16	1.30643e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.58874e+11	7.00506e+06	0.000527967	0	-9.33162e-16
	 	 	2	0.00118457	3.593e+11	7.00458e+06	0.00052805	0	7.4653e-16
	 	 	3	0.000314587	3.59413e+11	7.00449e+06	0.000528069	0	-1.67969e-15
	 	 	4	8.25466e-05	3.59442e+11	7.00447e+06	0.000528073	0	5.59897e-16
	 	 	5	2.11215e-05	3.5945e+11	7.00447e+06	0.000528074	0	-1.11979e-15
	 	 	6	5.16922e-06	3.59452e+11	7.00447e+06	0.000528074	0	1.11979e-15
	 	 	7	1.20887e-06	3.59452e+11	7.00447e+06	0.000528074	0	-2.05296e-15
	 	 	8	2.7233e-07	3.59452e+11	7.00447e+06	0.000528074	0	5.59897e-16
	 	 	9	5.96546e-08	3.59452e+11	7.00447e+06	0.000528074	0	-1.30643e-15
	 	 	10	1.28063e-08	3.59452e+11	7.00447e+06	0.000528074	0	-3.35938e-15
	 	 	11	2.7099e-09	3.59452e+11	7.00447e+06	0.000528074	0	7.4653e-16
	 7	0.00017745	7.00447e+06	0.811025	0.585012	0.721324	0.000528074	0	7.4653e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.59296e+11	7.00575e+06	0.000527853	0	-1.30643e-15
	 	 	2	0.000505586	3.59478e+11	7.00555e+06	0.000527888	0	1.86632e-16
	 	 	3	0.000132998	3.59526e+11	7.00551e+06	0.000527896	0	2.61285e-15
	 	 	4	3.47043e-05	3.59538e+11	7.0055e+06	0.000527898	0	-1.86632e-15
	 	 	5	8.86279e-06	3.59542e+11	7.0055e+06	0.000527898	0	-5.59897e-16
	 	 	6	2.16754e-06	3.59542e+11	7.0055e+06	0.000527898	0	7.4653e-16
	 	 	7	5.06656e-07	3.59543e+11	7.0055e+06	0.000527898	0	-3.54602e-15
	 	 	8	1.14082e-07	3.59543e+11	7.0055e+06	0.000527898	0	1.11979e-15
	 	 	9	2.49771e-08	3.59543e+11	7.0055e+06	0.000527898	0	7.4653e-16
	 	 	10	5.35911e-09	3.59543e+11	7.0055e+06	0.000527898	0	-3.73265e-16
	 8	7.25073e-05	7.0055e+06	0.810637	0.58555	0.722333	0.000527898	-1.79787e-16	-3.73265e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.59476e+11	7.00603e+06	0.000527806	0	2.79949e-15
	 	 	2	0.000214519	3.59553e+11	7.00594e+06	0.00052782	0	0
	 	 	3	5.60327e-05	3.59573e+11	7.00593e+06	0.000527824	0	-9.33162e-16
