HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L0.7_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../../Corotating_planet_grid/M1.0_fcore0.3_S4.0c/M1.0_fcore0.3_S4.0c_AM0.0/Output/M1.0_fcore0.3_S4.0c_L0_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.89596e+11	6.59137e+06	0.000281552	0	9.33162e-16
	 	 	2	0.0172029	3.96415e+11	6.52557e+06	0.000294369	0	1.11979e-15
	 	 	3	0.00536135	3.94301e+11	6.50027e+06	0.000300546	0	-1.11979e-15
	 	 	4	0.00832018	3.91048e+11	6.48996e+06	0.000303451	0	2.42622e-15
	 	 	5	0.00610526	3.88675e+11	6.485e+06	0.000304885	0	1.67969e-15
	 	 	6	0.00357648	3.8729e+11	6.48249e+06	0.000305676	0	0
	 	 	7	0.00211222	3.86473e+11	6.48127e+06	0.000306075	0	9.33162e-16
	 	 	8	0.00117934	3.86018e+11	6.48058e+06	0.000306286	0	-2.05296e-15
	 	 	9	0.000614365	3.85781e+11	6.48015e+06	0.000306408	0	7.4653e-16
	 	 	10	0.000323527	3.85656e+11	6.47991e+06	0.000306478	0	1.49306e-15
	 	 	11	0.000174898	3.85589e+11	6.47977e+06	0.000306518	0	-2.98612e-15
	 	 	12	9.62184e-05	3.85552e+11	6.47969e+06	0.00030654	0	-2.42622e-15
	 	 	13	5.32627e-05	3.85531e+11	6.47965e+06	0.000306552	0	0
	 	 	14	2.95355e-05	3.8552e+11	6.47962e+06	0.000306558	0	-1.67969e-15
	 	 	15	1.63827e-05	3.85514e+11	6.47961e+06	0.000306562	0	-1.49306e-15
	 	 	16	9.08667e-06	3.8551e+11	6.4796e+06	0.000306564	0	2.98612e-15
	 	 	17	5.03961e-06	3.85508e+11	6.4796e+06	0.000306565	0	-1.67969e-15
	 	 	18	2.79498e-06	3.85507e+11	6.4796e+06	0.000306566	0	0
	 	 	19	1.55009e-06	3.85507e+11	6.4796e+06	0.000306566	0	0
	 	 	20	8.59678e-07	3.85506e+11	6.4796e+06	0.000306567	0	1.86632e-15
	 	 	21	4.76777e-07	3.85506e+11	6.4796e+06	0.000306567	0	1.86632e-15
	 	 	22	2.64421e-07	3.85506e+11	6.4796e+06	0.000306567	0	-2.05296e-15
	 	 	23	1.46649e-07	3.85506e+11	6.4796e+06	0.000306567	0	-1.86632e-16
	 	 	24	8.13316e-08	3.85506e+11	6.4796e+06	0.000306567	0	1.86632e-16
