HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L1.9_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../../Corotating_planet_grid/M1.0_fcore0.3_S4.0c/M1.0_fcore0.3_S4.0c_AM0.0/Output/M1.0_fcore0.3_S4.0c_L0_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.89596e+11	6.59137e+06	0.000764211	0	-5.50074e-16
	 	 	2	0.19503	3.26014e+11	6.64389e+06	0.000770672	0	-2.75037e-16
	 	 	3	0.0936826	2.98088e+11	6.66405e+06	0.000770828	0	4.12556e-16
	 	 	4	0.0408862	2.86379e+11	6.66784e+06	0.000772524	0	1.65022e-15
	 	 	5	0.0188374	2.81084e+11	6.66729e+06	0.000774459	0	-1.37519e-16
	 	 	6	0.00957403	2.78419e+11	6.66642e+06	0.000775876	0	-1.5127e-15
	 	 	7	0.00545429	2.76908e+11	6.66592e+06	0.000776683	0	-2.75037e-16
	 	 	8	0.00302671	2.76073e+11	6.66554e+06	0.000777193	0	-3.43796e-15
	 	 	9	0.00171744	2.75599e+11	6.6653e+06	0.000777497	0	-5.50074e-16
	 	 	10	0.000989351	2.75327e+11	6.6652e+06	0.000777667	0	-8.25112e-16
	 	 	11	0.00060171	2.75161e+11	6.66522e+06	0.000777741	0	-5.50074e-16
	 	 	12	0.000395022	2.75053e+11	6.66529e+06	0.000777753	0	2.75037e-16
	 	 	13	0.000233448	2.74988e+11	6.66534e+06	0.000777752	0	-9.6263e-16
	 	 	14	0.00012735	2.74953e+11	6.66537e+06	0.000777751	0	-1.37519e-15
	 	 	15	6.72134e-05	2.74935e+11	6.66538e+06	0.000777751	0	1.92526e-15
	 	 	16	3.56098e-05	2.74925e+11	6.66539e+06	0.000777751	0	-1.10015e-15
	 	 	17	1.92324e-05	2.7492e+11	6.66539e+06	0.000777752	0	1.37519e-15
	 	 	18	1.0555e-05	2.74917e+11	6.66539e+06	0.000777752	0	9.6263e-16
	 	 	19	5.82763e-06	2.74915e+11	6.6654e+06	0.000777752	0	2.47533e-15
