HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L1.8_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../../Corotating_planet_grid/M1.0_fcore0.3_S4.0c/M1.0_fcore0.3_S4.0c_AM0.0/Output/M1.0_fcore0.3_S4.0c_L0_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.89596e+11	6.59137e+06	0.00072399	0	-8.70951e-16
	 	 	2	0.16519	3.34363e+11	6.62829e+06	0.000733624	0	0
	 	 	3	0.0820445	3.0901e+11	6.64273e+06	0.000735836	0	-2.03222e-15
	 	 	4	0.0372922	2.97901e+11	6.64505e+06	0.000738083	0	1.88706e-15
	 	 	5	0.0173802	2.92811e+11	6.64406e+06	0.000740147	0	-2.03222e-15
	 	 	6	0.00892186	2.90222e+11	6.64312e+06	0.000741535	0	-2.46769e-15
	 	 	7	0.00505506	2.88762e+11	6.64259e+06	0.000742307	0	-7.25793e-16
	 	 	8	0.00276135	2.87967e+11	6.64217e+06	0.000742795	0	1.45159e-15
	 	 	9	0.00154506	2.87523e+11	6.6419e+06	0.000743086	0	-4.06444e-15
	 	 	10	0.000881825	2.8727e+11	6.64179e+06	0.000743249	0	2.32254e-15
	 	 	11	0.000539246	2.87115e+11	6.6418e+06	0.000743319	0	-1.45159e-16
	 	 	12	0.000348904	2.87015e+11	6.64186e+06	0.000743334	0	1.16127e-15
	 	 	13	0.000204879	2.86956e+11	6.64191e+06	0.000743335	0	-1.01611e-15
	 	 	14	0.000111136	2.86924e+11	6.64194e+06	0.000743334	0	4.35476e-16
	 	 	15	5.79487e-05	2.86907e+11	6.64195e+06	0.000743334	0	2.90317e-16
	 	 	16	3.00494e-05	2.86899e+11	6.64195e+06	0.000743334	0	-3.04833e-15
	 	 	17	1.57814e-05	2.86894e+11	6.64196e+06	0.000743335	0	-1.7419e-15
	 	 	18	8.4139e-06	2.86892e+11	6.64196e+06	0.000743335	0	2.90317e-16
	 	 	19	4.52567e-06	2.86891e+11	6.64196e+06	0.000743335	0	0
	 	 	20	2.43887e-06	2.8689e+11	6.64196e+06	0.000743335	0	1.01611e-15
	 	 	21	1.31174e-06	2.86889e+11	6.64196e+06	0.000743335	0	-1.7419e-15
	 	 	22	7.03638e-07	2.86889e+11	6.64196e+06	0.000743335	0	7.25793e-16
	 	 	23	3.76791e-07	2.86889e+11	6.64196e+06	0.000743335	0	-8.70951e-16
	 	 	24	2.0166e-07	2.86889e+11	6.64196e+06	0.000743335	0	1.01611e-15
	 	 	25	1.07956e-07	2.86889e+11	6.64196e+06	0.000743335	0	-2.61285e-15
	 	 	26	5.78182e-08	2.86889e+11	6.64196e+06	0.000743335	0	1.45159e-16
	 	 	27	3.09772e-08	2.86889e+11	6.64196e+06	0.000743335	0	1.45159e-15
	 	 	28	1.65979e-08	2.86889e+11	6.64196e+06	0.000743335	0	-1.16127e-15
	 	 	29	8.89273e-09	2.86889e+11	6.64196e+06	0.000743335	0	-1.45159e-15
	 1	0.0574629	6.64196e+06	1	0.000284972	0.000284972	0.000743335	1.43506e-09	-1.45159e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.63668e+11	7.09556e+06	0.000691715	0	1.01611e-15
	 	 	2	0.0785845	2.86155e+11	7.11026e+06	0.00067528	0	-1.88706e-15
	 	 	3	0.0486076	3.00775e+11	7.11405e+06	0.000668088	0	1.59674e-15
	 	 	4	0.0277237	3.09351e+11	7.11566e+06	0.000664522	0	8.70951e-16
	 	 	5	0.0149331	3.14041e+11	7.11692e+06	0.000662493	0	-5.80634e-16
	 	 	6	0.00797774	3.16566e+11	7.1178e+06	0.000661346	0	1.16127e-15
	 	 	7	0.00423547	3.17913e+11	7.1184e+06	0.00066068	0	1.16127e-15
	 	 	8	0.00227388	3.18637e+11	7.12015e+06	0.000659622	0	-1.16127e-15
	 	 	9	0.0019523	3.19261e+11	7.11879e+06	0.000659948	0	-2.90317e-15
	 	 	10	0.000678352	3.19477e+11	7.11856e+06	0.000660013	0	4.35476e-16
	 	 	11	0.000205765	3.19543e+11	7.11852e+06	0.000660025	0	-1.01611e-15
	 	 	12	5.47196e-05	3.19561e+11	7.11851e+06	0.000660028	0	1.59674e-15
