HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L3.1_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../Earth_correct_params_S3.20c/Earth_correct_params_S3.20c_AM3.0/Output/Earth_correct_params_S3.20c_L3_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.66012e+11	8.91991e+06	0.000769942	0	-1.34857e-15
	 	 	2	0.0304309	2.58156e+11	8.95437e+06	0.000762835	0	2.19143e-15
	 	 	3	0.0084663	2.55989e+11	8.95749e+06	0.000761813	0	1.68571e-16
	 	 	4	0.00252278	2.55344e+11	8.95745e+06	0.000761722	0	-2.02285e-15
	 	 	5	0.000693319	2.55167e+11	8.95736e+06	0.000761723	0	5.05714e-16
	 	 	6	0.000166257	2.55125e+11	8.95733e+06	0.000761725	0	-8.42856e-16
	 	 	7	3.46984e-05	2.55116e+11	8.95733e+06	0.000761726	0	-1.85428e-15
	 	 	8	6.36661e-06	2.55115e+11	8.95733e+06	0.000761726	0	-1.51714e-15
	 	 	9	1.0336e-06	2.55114e+11	8.95733e+06	0.000761726	0	-6.74285e-16
	 	 	10	1.47978e-07	2.55114e+11	8.95733e+06	0.000761726	0	-3.70857e-15
	 	 	11	1.8269e-08	2.55114e+11	8.95733e+06	0.000761726	0	1.34857e-15
	 	 	12	1.8079e-09	2.55114e+11	8.95733e+06	0.000761726	0	-8.42856e-16
	 1	0.00304408	8.95733e+06	0.487345	0.87321	1.79177	0.000761726	-1.79787e-16	-8.42856e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.51417e+11	9.07793e+06	0.000756506	0	5.05714e-16
	 	 	2	0.00757197	2.53335e+11	9.08889e+06	0.000751369	0	-5.05714e-16
	 	 	3	0.0105039	2.56024e+11	9.08781e+06	0.000749979	0	-1.01143e-15
	 	 	4	0.00748478	2.57955e+11	9.08796e+06	0.000748848	0	-1.18e-15
	 	 	5	0.0054721	2.59375e+11	9.08389e+06	0.000749738	0	-1.68571e-16
	 	 	6	0.00156364	2.59781e+11	9.08358e+06	0.000749862	0	-1.85428e-15
	 	 	7	0.000438348	2.59895e+11	9.08036e+06	0.000751188	0	2.02285e-15
	 	 	8	0.00175546	2.59439e+11	9.08567e+06	0.000749463	0	1.34857e-15
	 	 	9	0.00135577	2.59791e+11	9.08385e+06	0.0007498	0	1.85428e-15
	 	 	10	0.000385903	2.59892e+11	9.08365e+06	0.000749858	0	1.68571e-16
	 	 	11	0.000117488	2.59922e+11	9.08364e+06	0.000749864	0	1.18e-15
	 	 	12	3.34014e-05	2.59931e+11	9.08364e+06	0.000749864	0	5.05714e-16
	 	 	13	8.31209e-06	2.59933e+11	9.08365e+06	0.000749864	0	1.34857e-15
	 	 	14	1.78547e-06	2.59934e+11	9.08365e+06	0.000749864	0	1.18e-15
	 	 	15	3.31232e-07	2.59934e+11	9.08365e+06	0.000749864	0	1.68571e-15
	 	 	16	5.2815e-08	2.59934e+11	9.08365e+06	0.000749864	0	2.02285e-15
