HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L1.1_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../../Corotating_planet_grid/M1.0_fcore0.3_S4.0c/M1.0_fcore0.3_S4.0c_AM0.0/Output/M1.0_fcore0.3_S4.0c_L0_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.89596e+11	6.59137e+06	0.000442438	0	2.85039e-15
	 	 	2	0.024797	3.80169e+11	6.55054e+06	0.000459103	0	2.01902e-15
	 	 	3	0.0239564	3.71274e+11	6.53496e+06	0.000466761	0	1.30643e-15
	 	 	4	0.0158676	3.65475e+11	6.52786e+06	0.000470537	0	7.12596e-16
	 	 	5	0.00917691	3.62152e+11	6.52424e+06	0.000472545	0	7.12596e-16
	 	 	6	0.00516465	3.60291e+11	6.5222e+06	0.000473614	0	-2.37532e-15
	 	 	7	0.00274791	3.59304e+11	6.52092e+06	0.000474241	0	-7.12596e-16
	 	 	8	0.00147522	3.58774e+11	6.52017e+06	0.000474602	0	-7.12596e-16
	 	 	9	0.000809459	3.58484e+11	6.51974e+06	0.000474807	0	-3.56298e-16
	 	 	10	0.000449978	3.58323e+11	6.5195e+06	0.000474922	0	-7.12596e-16
	 	 	11	0.000251421	3.58233e+11	6.51937e+06	0.000474985	0	8.31362e-16
	 	 	12	0.000140598	3.58183e+11	6.51929e+06	0.000475021	0	-1.18766e-16
	 	 	13	7.86026e-05	3.58154e+11	6.51925e+06	0.000475041	0	-1.42519e-15
	 	 	14	4.39232e-05	3.58139e+11	6.51923e+06	0.000475052	0	1.54396e-15
	 	 	15	2.45425e-05	3.5813e+11	6.51921e+06	0.000475059	0	-3.56298e-16
	 	 	16	1.37135e-05	3.58125e+11	6.51921e+06	0.000475062	0	1.78149e-15
	 	 	17	7.66273e-06	3.58122e+11	6.5192e+06	0.000475064	0	1.54396e-15
	 	 	18	4.2818e-06	3.58121e+11	6.5192e+06	0.000475065	0	4.75064e-16
	 	 	19	2.39261e-06	3.5812e+11	6.5192e+06	0.000475066	0	-5.9383e-16
	 	 	20	1.33696e-06	3.58119e+11	6.5192e+06	0.000475066	0	1.90026e-15
	 	 	21	7.47081e-07	3.58119e+11	6.5192e+06	0.000475066	0	-1.18766e-16
	 	 	22	4.17462e-07	3.58119e+11	6.5192e+06	0.000475066	0	-2.37532e-15
	 	 	23	2.33274e-07	3.58119e+11	6.5192e+06	0.000475066	0	0
