HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L1.6_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../../Corotating_planet_grid/M1.0_fcore0.3_S4.0c/M1.0_fcore0.3_S4.0c_AM0.0/Output/M1.0_fcore0.3_S4.0c_L0_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.89596e+11	6.59137e+06	0.000643546	0	-3.26607e-16
	 	 	2	0.114065	3.49707e+11	6.60094e+06	0.000657617	0	-6.53213e-16
	 	 	3	0.0616155	3.2941e+11	6.60483e+06	0.000662788	0	-3.26607e-16
	 	 	4	0.0300877	3.19788e+11	6.60405e+06	0.000666023	0	1.63303e-15
	 	 	5	0.0148564	3.15107e+11	6.60242e+06	0.000668169	0	-1.46973e-15
	 	 	6	0.00774256	3.12686e+11	6.60116e+06	0.00066949	0	6.53213e-16
	 	 	7	0.00419157	3.11381e+11	6.60047e+06	0.000670258	0	-1.30643e-15
	 	 	8	0.00240637	3.10633e+11	6.60011e+06	0.00067066	0	0
	 	 	9	0.0012952	3.10231e+11	6.59984e+06	0.000670907	0	-1.63303e-15
	 	 	10	0.000710099	3.10011e+11	6.59967e+06	0.000671054	0	-1.95964e-15
	 	 	11	0.000397537	3.09888e+11	6.59957e+06	0.000671139	0	-4.8991e-16
	 	 	12	0.000225198	3.09818e+11	6.59952e+06	0.000671187	0	-1.63303e-16
	 	 	13	0.0001279	3.09779e+11	6.59949e+06	0.000671214	0	-8.16517e-16
	 	 	14	7.26075e-05	3.09756e+11	6.59947e+06	0.000671229	0	-2.28625e-15
	 	 	15	4.11891e-05	3.09743e+11	6.59946e+06	0.000671238	0	-2.93946e-15
	 	 	16	2.3358e-05	3.09736e+11	6.59945e+06	0.000671243	0	1.30643e-15
	 	 	17	1.32453e-05	3.09732e+11	6.59945e+06	0.000671246	0	4.8991e-16
	 	 	18	7.51101e-06	3.0973e+11	6.59945e+06	0.000671247	0	6.53213e-16
	 	 	19	4.25937e-06	3.09728e+11	6.59945e+06	0.000671248	0	0
	 	 	20	2.41545e-06	3.09728e+11	6.59945e+06	0.000671249	0	-1.63303e-16
	 	 	21	1.36978e-06	3.09727e+11	6.59945e+06	0.000671249	0	9.7982e-16
	 	 	22	7.76794e-07	3.09727e+11	6.59945e+06	0.000671249	0	-5.22571e-15
	 	 	23	4.40514e-07	3.09727e+11	6.59945e+06	0.000671249	0	-1.95964e-15
	 	 	24	2.49811e-07	3.09727e+11	6.59945e+06	0.000671249	0	-1.63303e-16
	 	 	25	1.41667e-07	3.09727e+11	6.59945e+06	0.000671249	0	-2.44955e-15
	 	 	26	8.03374e-08	3.09727e+11	6.59945e+06	0.000671249	0	1.46973e-15
	 	 	27	4.55589e-08	3.09727e+11	6.59945e+06	0.000671249	0	2.28625e-15
	 	 	28	2.58367e-08	3.09727e+11	6.59945e+06	0.000671249	0	0
	 	 	29	1.46513e-08	3.09727e+11	6.59945e+06	0.000671249	0	-9.7982e-16
	 	 	30	8.30849e-09	3.09727e+11	6.59945e+06	0.000671249	0	9.7982e-16
	 1	0.0504768	6.59945e+06	1	0.000284972	0.000284972	0.000671249	2.7157e-09	9.7982e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.91148e+11	6.95302e+06	0.000629845	0	-1.63303e-15
	 	 	2	0.0627207	3.10631e+11	6.95601e+06	0.000621278	0	-1.63303e-15
	 	 	3	0.0333678	3.21354e+11	6.95905e+06	0.000616743	0	-1.63303e-16
	 	 	4	0.0174454	3.2706e+11	6.96148e+06	0.000614119	0	1.79634e-15
	 	 	5	0.00917563	3.30088e+11	6.96292e+06	0.00061262	0	2.61285e-15
	 	 	6	0.00500437	3.31749e+11	6.96377e+06	0.000611825	0	-8.16517e-16
	 	 	7	0.00261826	3.3262e+11	6.96646e+06	0.000610448	0	-6.53213e-16
	 	 	8	0.00215991	3.3334e+11	6.96494e+06	0.000610783	0	1.63303e-16
	 	 	9	0.000762217	3.33594e+11	6.96449e+06	0.000610895	0	-4.8991e-16
	 	 	10	0.000264005	3.33682e+11	6.96441e+06	0.000610919	0	0
	 	 	11	8.12458e-05	3.33709e+11	6.96439e+06	0.000610924	0	2.61285e-15
	 	 	12	2.1893e-05	3.33716e+11	6.96439e+06	0.000610925	0	2.28625e-15
	 	 	13	5.31821e-06	3.33718e+11	6.96439e+06	0.000610925	0	0
	 	 	14	1.20293e-06	3.33719e+11	6.96439e+06	0.000610925	0	-8.16517e-16
	 	 	15	2.59794e-07	3.33719e+11	6.96439e+06	0.000610925	0	-4.7358e-15
	 	 	16	5.44474e-08	3.33719e+11	6.96439e+06	0.000610925	0	-1.63303e-16
	 	 	17	1.11811e-08	3.33719e+11	6.96439e+06	0.000610925	0	0
	 	 	18	2.26299e-09	3.33719e+11	6.96439e+06	0.000610925	0	1.14312e-15
	 2	0.015644	6.96439e+06	0.838659	0.544657	0.649438	0.000610925	0	1.14312e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.23606e+11	7.11029e+06	0.000588577	0	-4.8991e-16
	 	 	2	0.0359656	3.35679e+11	7.09583e+06	0.000590526	0	4.8991e-16
	 	 	3	0.0122764	3.39851e+11	7.09269e+06	0.000590977	0	6.53213e-16
	 	 	4	0.00404309	3.41231e+11	7.09428e+06	0.000590027	0	-2.61285e-15
	 	 	5	0.00234995	3.42035e+11	7.09323e+06	0.000590252	0	1.63303e-16
	 	 	6	0.00073151	3.42285e+11	7.09303e+06	0.000590301	0	4.8991e-16
	 	 	7	0.000203368	3.42355e+11	7.09299e+06	0.000590312	0	6.53213e-16
	 	 	8	5.14681e-05	3.42372e+11	7.09298e+06	0.000590314	0	1.63303e-16
	 	 	9	1.21673e-05	3.42376e+11	7.09298e+06	0.000590314	0	1.95964e-15
