HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L0.1_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../../Corotating_planet_grid/M1.0_fcore0.3_S4.0c/M1.0_fcore0.3_S4.0c_AM0.0/Output/M1.0_fcore0.3_S4.0c_L0_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.89596e+11	6.59137e+06	4.02216e-05	0	-3.26607e-16
	 	 	2	0.0433412	4.07246e+11	6.50987e+06	4.22572e-05	0	-2.28625e-15
	 	 	3	0.00634463	4.09847e+11	6.47854e+06	4.32514e-05	0	-3.26607e-16
	 	 	4	0.003335	4.08485e+11	6.46577e+06	4.37115e-05	0	-1.63303e-16
	 	 	5	0.00383317	4.06925e+11	6.46012e+06	4.39406e-05	0	2.12294e-15
	 	 	6	0.00274965	4.05809e+11	6.45734e+06	4.40524e-05	0	1.46973e-15
	 	 	7	0.00156828	4.05173e+11	6.45578e+06	4.4114e-05	0	-1.63303e-15
	 	 	8	0.000846521	4.04831e+11	6.4549e+06	4.41485e-05	0	-1.79634e-15
	 	 	9	0.000457301	4.04646e+11	6.4544e+06	4.41677e-05	0	8.16517e-16
	 	 	10	0.00024939	4.04545e+11	6.45413e+06	4.41783e-05	0	9.7982e-16
	 	 	11	0.000136894	4.04489e+11	6.45398e+06	4.41842e-05	0	-2.28625e-15
	 	 	12	7.53663e-05	4.04459e+11	6.45389e+06	4.41874e-05	0	2.77616e-15
	 	 	13	4.15376e-05	4.04442e+11	6.45385e+06	4.41892e-05	0	8.16517e-16
	 	 	14	2.29011e-05	4.04433e+11	6.45382e+06	4.41902e-05	0	6.53213e-16
	 	 	15	1.26275e-05	4.04428e+11	6.45381e+06	4.41907e-05	0	9.7982e-16
	 	 	16	6.96298e-06	4.04425e+11	6.4538e+06	4.4191e-05	0	1.30643e-15
	 	 	17	3.83956e-06	4.04423e+11	6.4538e+06	4.41912e-05	0	-1.63303e-15
	 	 	18	2.11725e-06	4.04423e+11	6.45379e+06	4.41913e-05	0	0
	 	 	19	1.16753e-06	4.04422e+11	6.45379e+06	4.41913e-05	0	-1.63303e-15
	 	 	20	6.43821e-07	4.04422e+11	6.45379e+06	4.41914e-05	0	6.53213e-16
	 	 	21	3.55029e-07	4.04422e+11	6.45379e+06	4.41914e-05	0	-1.79634e-15
	 	 	22	1.95778e-07	4.04422e+11	6.45379e+06	4.41914e-05	0	-8.16517e-16
	 	 	23	1.0796e-07	4.04422e+11	6.45379e+06	4.41914e-05	0	-8.16517e-16
	 	 	24	5.95336e-08	4.04422e+11	6.45379e+06	4.41914e-05	0	2.61285e-15
	 	 	25	3.28292e-08	4.04422e+11	6.45379e+06	4.41914e-05	0	-2.44955e-15
	 	 	26	1.81037e-08	4.04422e+11	6.45379e+06	4.41914e-05	0	-2.12294e-15
	 	 	27	9.98279e-09	4.04422e+11	6.45379e+06	4.41914e-05	0	6.53213e-16
	 1	0.0107278	6.45379e+06	1	0.000284972	0.000284972	4.41914e-05	7.30478e-09	6.53213e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	4.04347e+11	6.45523e+06	4.41727e-05	0	1.63303e-15
	 	 	2	0.000226015	4.04438e+11	6.45512e+06	4.41743e-05	0	-1.79634e-15
	 	 	3	7.66959e-05	4.04469e+11	6.4551e+06	4.41748e-05	0	-1.63303e-16
	 	 	4	2.24436e-05	4.04478e+11	6.45509e+06	4.41749e-05	0	-1.95964e-15
	 	 	5	5.97989e-06	4.04481e+11	6.45509e+06	4.41749e-05	0	3.26607e-16
	 	 	6	1.51115e-06	4.04481e+11	6.45509e+06	4.41749e-05	0	1.95964e-15
	 	 	7	3.6976e-07	4.04481e+11	6.45509e+06	4.41749e-05	0	-6.53213e-16
	 	 	8	8.86514e-08	4.04481e+11	6.45509e+06	4.41749e-05	0	6.53213e-16
	 	 	9	2.09891e-08	4.04481e+11	6.45509e+06	4.41749e-05	0	1.63303e-16
	 	 	10	4.93261e-09	4.04481e+11	6.45509e+06	4.41749e-05	0	-2.28625e-15
	 2	5.86074e-05	6.45509e+06	0.999342	0.036284	0.0363079	4.41749e-05	3.59574e-16	-2.28625e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	4.04435e+11	6.45577e+06	4.41657e-05	0	-3.26607e-16
	 	 	2	0.00014094	4.04492e+11	6.45572e+06	4.41665e-05	0	1.63303e-15
	 	 	3	4.28504e-05	4.04509e+11	6.4557e+06	4.41668e-05	0	-6.53213e-16
	 	 	4	1.20187e-05	4.04514e+11	6.4557e+06	4.41668e-05	0	-9.7982e-16
	 	 	5	3.17123e-06	4.04515e+11	6.4557e+06	4.41668e-05	0	9.7982e-16
	 	 	6	8.00995e-07	4.04515e+11	6.4557e+06	4.41668e-05	0	2.44955e-15
	 	 	7	1.96192e-07	4.04516e+11	6.4557e+06	4.41668e-05	0	-1.63303e-16
	 	 	8	4.70765e-08	4.04516e+11	6.4557e+06	4.41668e-05	0	0
	 	 	9	1.11515e-08	4.04516e+11	6.4557e+06	4.41668e-05	0	9.7982e-16
	 	 	10	2.62147e-09	4.04516e+11	6.4557e+06	4.41668e-05	0	9.7982e-16
