HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L1.3_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../../Corotating_planet_grid/M1.0_fcore0.3_S4.0c/M1.0_fcore0.3_S4.0c_AM0.0/Output/M1.0_fcore0.3_S4.0c_L0_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	11	4.77716e-07	3.60496e+11	6.8715e+06	0.000509053	0	-1.00494e-15
	 	 	12	1.0634e-07	3.60496e+11	6.8715e+06	0.000509053	0	8.03955e-16
	 	 	13	2.33182e-08	3.60496e+11	6.8715e+06	0.000509053	0	4.01977e-16
	 	 	14	5.06013e-09	3.60496e+11	6.8715e+06	0.000509053	0	8.03955e-16
	 3	0.00508207	6.8715e+06	0.85523	0.518249	0.605976	0.000509053	-1.79787e-16	8.03955e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.56899e+11	6.91504e+06	0.000502513	0	0
	 	 	2	0.0122671	3.61332e+11	6.90971e+06	0.000503418	0	-4.01977e-16
	 	 	3	0.00351941	3.62608e+11	6.90836e+06	0.000503682	0	2.00989e-16
	 	 	4	0.00100911	3.62974e+11	6.90794e+06	0.000503767	0	-4.01977e-16
	 	 	5	0.00030147	3.63084e+11	6.90781e+06	0.000503794	0	-1.60791e-15
	 	 	6	9.27202e-05	3.63117e+11	6.90778e+06	0.000503802	0	1.8089e-15
	 	 	7	2.86573e-05	3.63128e+11	6.90776e+06	0.000503804	0	-4.01977e-16
	 	 	8	8.78439e-06	3.63131e+11	6.90776e+06	0.000503805	0	-2.00989e-15
