HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L3.325_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../Earth_correct_params_S3.20c/Earth_correct_params_S3.20c_AM3.3/Output/Earth_correct_params_S3.20c_L3.3_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54563e+11	9.77074e+06	0.000749583	0	0
	 	 	2	0.00779807	2.52593e+11	9.77693e+06	0.000749538	0	2.2003e-15
	 	 	3	0.00486072	2.51371e+11	9.78642e+06	0.000746772	0	-2.67179e-15
	 	 	4	0.00156098	2.51764e+11	9.78275e+06	0.000747336	0	-1.57164e-16
	 	 	5	0.000389997	2.51863e+11	9.78241e+06	0.000747426	0	6.28656e-16
	 	 	6	0.000120716	2.51893e+11	9.78243e+06	0.000747431	0	-1.57164e-16
	 	 	7	3.71562e-05	2.51902e+11	9.78244e+06	0.00074743	0	6.28656e-16
	 	 	8	9.76763e-06	2.51905e+11	9.78245e+06	0.00074743	0	3.14328e-16
	 	 	9	2.13399e-06	2.51905e+11	9.78245e+06	0.00074743	0	6.28656e-16
	 	 	10	3.90893e-07	2.51906e+11	9.78245e+06	0.00074743	0	-2.35746e-15
	 	 	11	6.06963e-08	2.51906e+11	9.78245e+06	0.00074743	0	-4.71492e-16
	 	 	12	8.04672e-09	2.51906e+11	9.78245e+06	0.00074743	0	2.67179e-15
	 1	0.000788462	9.78245e+06	0.428946	0.90333	2.10593	0.00074743	-1.79787e-16	2.67179e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.5101e+11	9.82003e+06	0.000752859	1	1.25731e-15
	 	 	2	0.00808841	2.48996e+11	9.84452e+06	0.000746456	1	6.28656e-16
	 	 	3	0.00437545	2.5009e+11	9.84897e+06	0.000743162	1	1.41448e-15
	 	 	4	0.00794436	2.52093e+11	9.83924e+06	0.000744933	0	2.04313e-15
	 	 	5	0.00213467	2.52632e+11	9.83856e+06	0.000745158	0	-1.10015e-15
	 	 	6	0.000608649	2.52786e+11	9.83868e+06	0.000745166	0	1.10015e-15
	 	 	7	0.000162805	2.52827e+11	9.83873e+06	0.000745161	0	0
	 	 	8	3.82437e-05	2.52837e+11	9.83874e+06	0.00074516	0	-1.57164e-16
	 	 	9	7.71991e-06	2.52839e+11	9.83874e+06	0.00074516	0	3.14328e-16
	 	 	10	1.33686e-06	2.52839e+11	9.83874e+06	0.00074516	0	1.41448e-15
	 	 	11	1.99137e-07	2.52839e+11	9.83874e+06	0.00074516	0	1.57164e-15
	 	 	12	2.56252e-08	2.52839e+11	9.83874e+06	0.00074516	0	1.57164e-15
	 	 	13	2.8971e-09	2.52839e+11	9.83874e+06	0.00074516	0	-6.28656e-16
	 2	0.00173064	9.83874e+06	0.425585	0.904919	2.1263	0.00074516	1.79787e-16	-6.28656e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.52557e+11	9.8583e+06	0.000751705	1	-1.88597e-15
	 	 	2	0.00950598	2.50179e+11	9.88135e+06	0.000746045	2	-2.51463e-15
	 	 	3	0.00252943	2.50813e+11	9.88594e+06	0.000743176	1	-3.14328e-16
	 	 	4	0.00632516	2.5241e+11	9.87754e+06	0.000744635	1	9.42985e-16
