HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L0.3_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../../Corotating_planet_grid/M1.0_fcore0.3_S4.0c/M1.0_fcore0.3_S4.0c_AM0.0/Output/M1.0_fcore0.3_S4.0c_L0_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.89596e+11	6.59137e+06	0.000120665	0	3.26607e-15
	 	 	2	0.0390818	4.05441e+11	6.51241e+06	0.00012667	0	1.30643e-15
	 	 	3	0.00444219	4.0725e+11	6.48197e+06	0.000129599	0	1.95964e-15
	 	 	4	0.00411766	4.0558e+11	6.46979e+06	0.000130968	0	8.70951e-16
	 	 	5	0.00434139	4.03827e+11	6.46422e+06	0.000131622	0	2.17738e-15
	 	 	6	0.00279338	4.02702e+11	6.46127e+06	0.00013197	0	-6.53213e-16
	 	 	7	0.00158957	4.02063e+11	6.45965e+06	0.000132161	0	-1.7419e-15
	 	 	8	0.000877091	4.01711e+11	6.45874e+06	0.000132267	0	4.35476e-16
	 	 	9	0.000481968	4.01517e+11	6.45831e+06	0.000132326	0	2.39512e-15
	 	 	10	0.000304624	4.01395e+11	6.45816e+06	0.000132354	0	-1.08869e-15
	 	 	11	0.000188565	4.01319e+11	6.45811e+06	0.000132366	0	3.04833e-15
	 	 	12	0.000108651	4.01276e+11	6.4581e+06	0.000132371	0	-1.08869e-15
	 	 	13	5.88409e-05	4.01252e+11	6.4581e+06	0.000132374	0	4.35476e-16
	 	 	14	3.04864e-05	4.0124e+11	6.4581e+06	0.000132375	0	-1.08869e-15
	 	 	15	1.53279e-05	4.01234e+11	6.4581e+06	0.000132375	0	-1.30643e-15
	 	 	16	7.55305e-06	4.01231e+11	6.4581e+06	0.000132375	0	-1.52416e-15
	 	 	17	3.67244e-06	4.01229e+11	6.4581e+06	0.000132376	0	2.17738e-16
	 	 	18	1.7699e-06	4.01229e+11	6.4581e+06	0.000132376	0	3.4838e-15
	 	 	19	8.48057e-07	4.01228e+11	6.4581e+06	0.000132376	0	1.7419e-15
	 	 	20	4.04818e-07	4.01228e+11	6.4581e+06	0.000132376	0	0
	 	 	21	1.92768e-07	4.01228e+11	6.4581e+06	0.000132376	0	-2.39512e-15
