HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L1.5_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../../Corotating_planet_grid/M1.0_fcore0.3_S4.0c/M1.0_fcore0.3_S4.0c_AM0.0/Output/M1.0_fcore0.3_S4.0c_L0_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.89596e+11	6.59137e+06	0.000603325	0	2.43866e-15
	 	 	2	0.0922181	3.56702e+11	6.58875e+06	0.000618783	0	8.70951e-16
	 	 	3	0.0524961	3.3891e+11	6.58795e+06	0.000625037	0	-3.13542e-15
	 	 	4	0.0269091	3.30029e+11	6.58594e+06	0.000628521	0	0
	 	 	5	0.0136951	3.25571e+11	6.58398e+06	0.000630657	0	-5.22571e-16
	 	 	6	0.00717033	3.23253e+11	6.58251e+06	0.000631937	0	1.39352e-15
	 	 	7	0.00377532	3.22037e+11	6.58154e+06	0.000632721	0	-3.4838e-16
	 	 	8	0.0021084	3.21359e+11	6.5812e+06	0.000633148	0	2.61285e-15
	 	 	9	0.00134574	3.20928e+11	6.58112e+06	0.000633311	0	-4.87733e-15
	 	 	10	0.000685854	3.20708e+11	6.58099e+06	0.000633427	0	2.61285e-15
	 	 	11	0.000357417	3.20593e+11	6.5809e+06	0.0006335	0	1.04514e-15
	 	 	12	0.000196019	3.2053e+11	6.58084e+06	0.000633543	0	-1.91609e-15
	 	 	13	0.000110427	3.20495e+11	6.58081e+06	0.000633568	0	5.22571e-16
	 	 	14	6.25783e-05	3.20475e+11	6.5808e+06	0.000633581	0	0
	 	 	15	3.5414e-05	3.20463e+11	6.58079e+06	0.000633589	0	1.91609e-15
	 	 	16	2.00031e-05	3.20457e+11	6.58078e+06	0.000633593	0	8.70951e-16
	 	 	17	1.12868e-05	3.20453e+11	6.58078e+06	0.000633596	0	-5.22571e-16
	 	 	18	6.36667e-06	3.20451e+11	6.58078e+06	0.000633597	0	1.7419e-15
	 	 	19	3.59129e-06	3.2045e+11	6.58078e+06	0.000633598	0	-2.61285e-15
	 	 	20	2.02586e-06	3.20449e+11	6.58078e+06	0.000633598	0	-2.09028e-15
	 	 	21	1.14284e-06	3.20449e+11	6.58078e+06	0.000633598	0	-6.96761e-16
	 	 	22	6.44707e-07	3.20449e+11	6.58077e+06	0.000633599	0	-3.4838e-16
	 	 	23	3.63699e-07	3.20449e+11	6.58077e+06	0.000633599	0	0
	 	 	24	2.05173e-07	3.20449e+11	6.58077e+06	0.000633599	0	-2.26447e-15
	 	 	25	1.15744e-07	3.20449e+11	6.58077e+06	0.000633599	0	-5.22571e-16
	 	 	26	6.52944e-08	3.20449e+11	6.58077e+06	0.000633599	0	3.4838e-16
	 	 	27	3.68346e-08	3.20449e+11	6.58077e+06	0.000633599	0	-2.26447e-15
	 	 	28	2.07794e-08	3.20449e+11	6.58077e+06	0.000633599	0	1.7419e-16
	 	 	29	1.1722e-08	3.20449e+11	6.58077e+06	0.000633599	0	-2.96123e-15
	 	 	30	6.61317e-09	3.20449e+11	6.58077e+06	0.000633599	0	-1.21933e-15
	 1	0.0467837	6.58077e+06	1	0.000284972	0.000284972	0.000633599	2.26517e-09	-1.21933e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.04042e+11	6.89126e+06	0.000596862	0	5.22571e-16
	 	 	2	0.0555599	3.21929e+11	6.88981e+06	0.000591309	0	1.7419e-15
