HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L1.7_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../../Corotating_planet_grid/M1.0_fcore0.3_S4.0c/M1.0_fcore0.3_S4.0c_AM0.0/Output/M1.0_fcore0.3_S4.0c_L0_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.89596e+11	6.59137e+06	0.000683768	0	1.53697e-16
	 	 	2	0.138303	3.4226e+11	6.61391e+06	0.000695914	0	-6.14789e-16
	 	 	3	0.0712896	3.19484e+11	6.62274e+06	0.000699848	0	-2.15176e-15
	 	 	4	0.033611	3.09095e+11	6.62348e+06	0.000702659	0	-1.38328e-15
	 	 	5	0.0161098	3.04195e+11	6.62221e+06	0.000704768	0	-4.61092e-16
	 	 	6	0.00834591	3.01677e+11	6.62123e+06	0.000706109	0	-3.07395e-16
	 	 	7	0.00467382	3.00274e+11	6.62062e+06	0.000706851	0	1.22958e-15
	 	 	8	0.00250083	2.99524e+11	6.62025e+06	0.000707314	0	9.22184e-16
	 	 	9	0.00149782	2.99077e+11	6.62023e+06	0.000707523	0	3.68873e-15
	 	 	10	0.000928331	2.98799e+11	6.62026e+06	0.0007076	0	6.14789e-16
	 	 	11	0.000457052	2.98663e+11	6.6202e+06	0.000707669	0	-1.69067e-15
	 	 	12	0.000238648	2.98591e+11	6.62015e+06	0.000707715	0	3.07395e-16
	 	 	13	0.000133206	2.98552e+11	6.62012e+06	0.000707742	0	1.53697e-16
	 	 	14	7.62259e-05	2.98529e+11	6.62011e+06	0.000707757	0	-3.07395e-16
	 	 	15	4.36166e-05	2.98516e+11	6.6201e+06	0.000707765	0	1.53697e-16
	 	 	16	2.48318e-05	2.98508e+11	6.62009e+06	0.00070777	0	4.61092e-16
	 	 	17	1.4095e-05	2.98504e+11	6.62009e+06	0.000707773	0	-2.45916e-15
	 	 	18	7.99421e-06	2.98502e+11	6.62009e+06	0.000707774	0	-4.61092e-16
	 	 	19	4.53449e-06	2.985e+11	6.62009e+06	0.000707775	0	2.15176e-15
	 	 	20	2.57262e-06	2.985e+11	6.62009e+06	0.000707775	0	-1.22958e-15
	 	 	21	1.45972e-06	2.98499e+11	6.62009e+06	0.000707776	0	-7.68486e-16
	 	 	22	8.28272e-07	2.98499e+11	6.62009e+06	0.000707776	0	3.07395e-16
	 	 	23	4.69973e-07	2.98499e+11	6.62009e+06	0.000707776	0	-2.30546e-15
	 	 	24	2.66667e-07	2.98499e+11	6.62009e+06	0.000707776	0	9.22184e-16
	 	 	25	1.51309e-07	2.98499e+11	6.62009e+06	0.000707776	0	-6.14789e-16
	 	 	26	8.58537e-08	2.98499e+11	6.62009e+06	0.000707776	0	1.53697e-16
	 	 	27	4.87139e-08	2.98499e+11	6.62009e+06	0.000707776	0	-6.14789e-16
	 	 	28	2.76409e-08	2.98499e+11	6.62009e+06	0.000707776	0	9.22184e-16
	 	 	29	1.56835e-08	2.98499e+11	6.62009e+06	0.000707776	0	3.07395e-16
	 	 	30	8.89893e-09	2.98499e+11	6.62009e+06	0.000707776	0	2.15176e-15
