HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L2.4_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../Earth_correct_params_S3.20c/Earth_correct_params_S3.20c_AM2.1/Output/Earth_correct_params_S3.20c_L2.1_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.17287e+11	7.65143e+06	0.000768399	0	8.70951e-16
	 	 	2	0.0810317	2.93504e+11	7.71801e+06	0.000753043	0	-1.7419e-15
	 	 	3	0.0241784	2.86575e+11	7.7294e+06	0.000749643	0	8.70951e-16
	 	 	4	0.00737276	2.84477e+11	7.73079e+06	0.00074909	0	4.35476e-16
	 	 	5	0.00206579	2.83891e+11	7.73092e+06	0.000749007	0	6.53213e-16
	 	 	6	0.000518522	2.83744e+11	7.73092e+06	0.000748997	0	-6.53213e-16
	 	 	7	0.00011677	2.83711e+11	7.73091e+06	0.000748995	0	6.53213e-16
	 	 	8	2.39506e-05	2.83704e+11	7.73091e+06	0.000748995	0	4.35476e-16
	 	 	9	4.5361e-06	2.83703e+11	7.73091e+06	0.000748995	0	-2.17738e-16
	 	 	10	7.99132e-07	2.83702e+11	7.73091e+06	0.000748995	0	-1.08869e-15
	 	 	11	1.30979e-07	2.83702e+11	7.73091e+06	0.000748995	0	-2.83059e-15
	 	 	12	1.97898e-08	2.83702e+11	7.73091e+06	0.000748995	0	-6.53213e-16
	 	 	13	2.68515e-09	2.83702e+11	7.73091e+06	0.000748995	0	-4.35476e-16
	 1	0.0115472	7.73091e+06	0.659207	0.751962	1.14071	0.000748995	3.59574e-16	-4.35476e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.74381e+11	7.94281e+06	0.000726096	0	2.17738e-16
	 	 	2	0.0312795	2.8324e+11	7.94002e+06	0.000722726	0	3.91928e-15
	 	 	3	0.0184137	2.88554e+11	7.93762e+06	0.000721504	0	3.04833e-15
	 	 	4	0.0102144	2.91532e+11	7.93646e+06	0.000721	0	-8.70951e-16
	 	 	5	0.00502223	2.93003e+11	7.93612e+06	0.000720603	0	-4.35476e-16
	 	 	6	0.00284758	2.9384e+11	7.93734e+06	0.000719786	0	1.95964e-15
	 	 	7	0.00213761	2.94469e+11	7.93609e+06	0.000720075	0	-6.53213e-16
	 	 	8	0.000645811	2.9466e+11	7.9359e+06	0.000720131	0	-2.17738e-16
