HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L2.3_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../Earth_correct_params_S3.20c/Earth_correct_params_S3.20c_AM2.1/Output/Earth_correct_params_S3.20c_L2.1_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.17287e+11	7.65143e+06	0.000736383	0	1.36323e-15
	 	 	2	0.0513714	3.01784e+11	7.69415e+06	0.000726929	0	-1.13602e-16
	 	 	3	0.0158472	2.97076e+11	7.70167e+06	0.000724812	0	1.59043e-15
	 	 	4	0.00483185	2.95647e+11	7.70268e+06	0.000724447	0	-9.08819e-16
	 	 	5	0.00135011	2.95249e+11	7.70279e+06	0.000724389	0	7.95216e-16
	 	 	6	0.000338419	2.95149e+11	7.7028e+06	0.00072438	0	-5.68012e-16
	 	 	7	7.64872e-05	2.95126e+11	7.7028e+06	0.000724379	0	5.68012e-16
	 	 	8	1.58466e-05	2.95122e+11	7.7028e+06	0.000724379	0	1.02242e-15
	 	 	9	3.04952e-06	2.95121e+11	7.7028e+06	0.000724379	0	-7.95216e-16
	 	 	10	5.49229e-07	2.95121e+11	7.7028e+06	0.000724379	0	-9.08819e-16
	 	 	11	9.27183e-08	2.95121e+11	7.7028e+06	0.000724379	0	1.70403e-15
	 	 	12	1.45877e-08	2.95121e+11	7.7028e+06	0.000724379	0	1.02242e-15
	 	 	13	2.1023e-09	2.95121e+11	7.7028e+06	0.000724379	0	3.40807e-16
	 1	0.0079187	7.7028e+06	0.659207	0.751962	1.14071	0.000724379	0	3.40807e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.8896e+11	7.85364e+06	0.000702925	0	-6.81614e-16
	 	 	2	0.0270054	2.9698e+11	7.83759e+06	0.00070564	0	-1.36323e-15
	 	 	3	0.0103605	3.00089e+11	7.8339e+06	0.000706464	0	7.95216e-16
