HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L3.30313_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../Earth_correct_params_S3.20c/Earth_correct_params_S3.20c_AM3.3/Output/Earth_correct_params_S3.20c_L3.3_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54563e+11	9.77074e+06	0.000744651	0	0
	 	 	2	0.000964945	2.54318e+11	9.77211e+06	0.000744419	0	1.10743e-15
	 	 	3	0.000249003	2.54254e+11	9.77221e+06	0.000744387	0	4.90435e-15
	 	 	4	7.08345e-05	2.54236e+11	9.7722e+06	0.000744385	0	-1.58205e-16
	 	 	5	1.9497e-05	2.54231e+11	9.77219e+06	0.000744386	0	7.91025e-16
	 	 	6	4.70289e-06	2.5423e+11	9.77219e+06	0.000744386	0	6.3282e-16
	 	 	7	9.6658e-07	2.5423e+11	9.77219e+06	0.000744386	0	-1.42384e-15
	 	 	8	1.69141e-07	2.5423e+11	9.77219e+06	0.000744386	0	-3.1641e-15
	 	 	9	2.52734e-08	2.5423e+11	9.77219e+06	0.000744386	0	9.4923e-16
	 	 	10	3.22552e-09	2.5423e+11	9.77219e+06	0.000744386	0	7.91025e-16
	 1	9.22503e-05	9.77219e+06	0.428946	0.90333	2.10593	0.000744386	0	7.91025e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54116e+11	9.77358e+06	0.000746242	0	-1.10743e-15
	 	 	2	0.00282627	2.534e+11	9.78371e+06	0.000743281	0	2.53128e-15
	 	 	3	0.00274599	2.54098e+11	9.77939e+06	0.000743981	0	-1.58205e-15
	 	 	4	0.000720923	2.54281e+11	9.77903e+06	0.000744086	0	1.42384e-15
	 	 	5	0.00020761	2.54334e+11	9.77906e+06	0.000744092	0	-3.00589e-15
	 	 	6	5.78754e-05	2.54349e+11	9.77908e+06	0.00074409	0	3.1641e-16
	 	 	7	1.41576e-05	2.54352e+11	9.77908e+06	0.00074409	0	2.05666e-15
	 	 	8	2.95132e-06	2.54353e+11	9.77909e+06	0.00074409	0	-1.26564e-15
	 	 	9	5.23486e-07	2.54353e+11	9.77909e+06	0.00074409	0	1.10743e-15
	 	 	10	7.92191e-08	2.54353e+11	9.77909e+06	0.00074409	0	7.91025e-16
	 	 	11	1.02272e-08	2.54353e+11	9.77909e+06	0.00074409	0	1.58205e-16
	 	 	12	1.12825e-09	2.54353e+11	9.77909e+06	0.00074409	0	-9.4923e-16
	 2	0.000198189	9.77909e+06	0.428526	0.90353	2.10846	0.00074409	-1.79787e-16	-9.4923e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54318e+11	9.77903e+06	0.000745599	0	2.84769e-15
	 	 	2	0.00227105	2.53741e+11	9.78651e+06	0.000743455	0	1.26564e-15
	 	 	3	0.00186265	2.54215e+11	9.78349e+06	0.00074394	0	-1.42384e-15
	 	 	4	0.000487778	2.54339e+11	9.78323e+06	0.000744014	0	-1.42384e-15
	 	 	5	0.000140877	2.54375e+11	9.78325e+06	0.000744018	0	-9.4923e-16
	 	 	6	3.95013e-05	2.54385e+11	9.78327e+06	0.000744017	0	7.91025e-16
	 	 	7	9.71617e-06	2.54387e+11	9.78327e+06	0.000744017	0	1.10743e-15
	 	 	8	2.03405e-06	2.54388e+11	9.78327e+06	0.000744017	0	2.68948e-15
	 	 	9	3.6187e-07	2.54388e+11	9.78327e+06	0.000744017	0	2.53128e-15
	 	 	10	5.48627e-08	2.54388e+11	9.78327e+06	0.000744017	0	-1.58205e-16
	 	 	11	7.0867e-09	2.54388e+11	9.78327e+06	0.000744017	0	3.00589e-15
	 3	6.65679e-05	9.78327e+06	0.428327	0.903624	2.10966	0.000744017	1.79787e-16	3.00589e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54368e+11	9.78651e+06	0.000743992	0	1.58205e-15
	 	 	2	9.56443e-05	2.54393e+11	9.78655e+06	0.000743989	0	-1.10743e-15
	 	 	3	3.72027e-05	2.54402e+11	9.78656e+06	0.000743988	0	-2.05666e-15
	 	 	4	1.00795e-05	2.54405e+11	9.78656e+06	0.000743988	0	1.42384e-15
	 	 	5	2.09724e-06	2.54405e+11	9.78656e+06	0.000743988	0	3.1641e-16
	 	 	6	3.67225e-07	2.54405e+11	9.78656e+06	0.000743988	0	7.91025e-16
	 	 	7	5.68893e-08	2.54405e+11	9.78656e+06	0.000743988	0	9.4923e-16
	 	 	8	8.02978e-09	2.54405e+11	9.78656e+06	0.000743988	0	0
	 4	8.2534e-05	9.78656e+06	0.428177	0.903695	2.11056	0.000743988	-3.59574e-16	0
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54388e+11	9.78498e+06	0.00074562	0	-2.05666e-15
	 	 	2	0.00249408	2.53755e+11	9.7929e+06	0.000743356	0	1.42384e-15
	 	 	3	0.00192551	2.54245e+11	9.78972e+06	0.000743866	0	1.42384e-15
	 	 	4	0.000503982	2.54373e+11	9.78945e+06	0.000743943	0	-4.74615e-16
	 	 	5	0.00014599	2.5441e+11	9.78947e+06	0.000743947	0	3.48051e-15
	 	 	6	4.10788e-05	2.54421e+11	9.78948e+06	0.000743946	0	1.10743e-15
	 	 	7	1.01288e-05	2.54423e+11	9.78948e+06	0.000743946	0	2.68948e-15
	 	 	8	2.12341e-06	2.54424e+11	9.78948e+06	0.000743946	0	-3.1641e-16
	 	 	9	3.77915e-07	2.54424e+11	9.78948e+06	0.000743946	0	1.42384e-15
	 	 	10	5.72613e-08	2.54424e+11	9.78948e+06	0.000743946	0	1.42384e-15
	 	 	11	7.38383e-09	2.54424e+11	9.78948e+06	0.000743946	0	-4.74615e-16
	 5	2.43307e-05	9.78948e+06	0.428051	0.903755	2.11132	0.000743946	1.79787e-16	-4.74615e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54413e+11	9.79176e+06	0.00074394	0	-1.42384e-15
	 	 	2	5.09647e-05	2.54426e+11	9.79181e+06	0.000743934	0	-4.74615e-16
	 	 	3	2.23019e-05	2.54432e+11	9.79182e+06	0.000743933	0	-6.3282e-16
	 	 	4	6.04972e-06	2.54433e+11	9.79182e+06	0.000743933	0	-1.89846e-15
	 	 	5	1.19077e-06	2.54434e+11	9.79182e+06	0.000743933	0	1.58205e-15
	 	 	6	1.89135e-07	2.54434e+11	9.79182e+06	0.000743933	0	-1.26564e-15
	 	 	7	2.56869e-08	2.54434e+11	9.79182e+06	0.000743933	0	-3.1641e-16
	 	 	8	3.13072e-09	2.54434e+11	9.79182e+06	0.000743933	0	-1.74025e-15
	 6	5.49032e-05	9.79182e+06	0.427945	0.903805	2.11197	0.000743933	0	-1.74025e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54422e+11	9.79012e+06	0.000745335	0	2.37307e-15
	 	 	2	0.00214788	2.53876e+11	9.7969e+06	0.000743398	0	-1.58205e-16
	 	 	3	0.00164203	2.54294e+11	9.79418e+06	0.000743834	0	4.74615e-16
	 	 	4	0.000429537	2.54403e+11	9.79394e+06	0.0007439	0	-9.4923e-16
	 	 	5	0.000124497	2.54435e+11	9.79396e+06	0.000743904	0	2.05666e-15
	 	 	6	3.50572e-05	2.54444e+11	9.79397e+06	0.000743903	0	-1.58205e-16
