HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L3_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../Earth_correct_params_S3.20c/Earth_correct_params_S3.20c_AM2.1/Output/Earth_correct_params_S3.20c_L2.1_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 4	0.0015704	8.92875e+06	0.487695	0.873014	1.79008	0.00074549	3.59574e-16	1.39352e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.65166e+11	8.93005e+06	0.000744627	0	8.70951e-16
	 	 	2	0.00248605	2.65826e+11	8.92832e+06	0.000744983	0	-8.70951e-16
	 	 	3	0.000570893	2.65978e+11	8.92806e+06	0.000745064	0	-2.09028e-15
	 	 	4	0.000159142	2.66021e+11	8.92803e+06	0.000745081	0	-3.4838e-16
	 	 	5	5.09867e-05	2.66034e+11	8.92803e+06	0.000745083	0	6.96761e-16
	 	 	6	1.52554e-05	2.66038e+11	8.92803e+06	0.000745083	0	1.21933e-15
	 	 	7	3.79419e-06	2.66039e+11	8.92803e+06	0.000745082	0	-1.21933e-15
	 	 	8	7.04909e-07	2.66039e+11	8.92803e+06	0.000745082	0	1.21933e-15
	 	 	9	6.23651e-08	2.66039e+11	8.92803e+06	0.000745082	0	1.91609e-15
	 	 	10	1.87115e-08	2.66039e+11	8.92803e+06	0.000745082	0	1.56771e-15
	 	 	11	1.21268e-08	2.66039e+11	8.92803e+06	0.000745082	0	-1.91609e-15
	 	 	12	4.00718e-09	2.66039e+11	8.92803e+06	0.000745082	0	-6.96761e-16
	 5	0.00013826	8.92803e+06	0.487308	0.87323	1.79195	0.000745082	3.59574e-16	-6.96761e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.65769e+11	8.92709e+06	0.00074483	0	-1.21933e-15
	 	 	2	0.00079466	2.65981e+11	8.92635e+06	0.000744999	0	3.4838e-15
	 	 	3	0.000197458	2.66033e+11	8.92622e+06	0.000745046	0	-2.26447e-15
	 	 	4	7.26061e-05	2.66053e+11	8.9262e+06	0.000745055	0	-1.39352e-15
	 	 	5	2.77423e-05	2.6606e+11	8.9262e+06	0.000745056	0	-3.65799e-15
	 	 	6	8.73754e-06	2.66062e+11	8.92621e+06	0.000745056	0	-2.78704e-15
	 	 	7	2.15172e-06	2.66063e+11	8.92621e+06	0.000745056	0	-1.7419e-15
	 	 	8	3.78141e-07	2.66063e+11	8.92621e+06	0.000745055	0	5.22571e-16
	 	 	9	2.42887e-08	2.66063e+11	8.92621e+06	0.000745055	0	-2.26447e-15
	 	 	10	1.41434e-08	2.66063e+11	8.92621e+06	0.000745055	0	-2.78704e-15
