HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L3.3125_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../Earth_correct_params_S3.20c/Earth_correct_params_S3.20c_AM3.3/Output/Earth_correct_params_S3.20c_L3.3_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54563e+11	9.77074e+06	0.000746765	0	4.73272e-16
	 	 	2	0.00387653	2.5358e+11	9.77217e+06	0.000747365	0	1.41981e-15
	 	 	3	0.00338441	2.52725e+11	9.77984e+06	0.000745143	0	1.57757e-16
	 	 	4	0.00147574	2.53098e+11	9.77685e+06	0.000745612	0	-6.31029e-16
	 	 	5	0.000378279	2.53194e+11	9.77657e+06	0.000745685	0	0
	 	 	6	0.000113972	2.53223e+11	9.77659e+06	0.00074569	0	1.73533e-15
	 	 	7	3.37169e-05	2.53231e+11	9.7766e+06	0.000745689	0	-4.73272e-16
	 	 	8	8.62364e-06	2.53234e+11	9.7766e+06	0.000745689	0	1.57757e-16
	 	 	9	1.85359e-06	2.53234e+11	9.7766e+06	0.000745688	0	-6.31029e-16
	 	 	10	3.36307e-07	2.53234e+11	9.7766e+06	0.000745688	0	0
	 	 	11	5.1906e-08	2.53234e+11	9.7766e+06	0.000745688	0	-2.99739e-15
	 	 	12	6.8454e-09	2.53234e+11	9.7766e+06	0.000745688	0	1.57757e-16
	 1	0.000414299	9.7766e+06	0.428946	0.90333	2.10593	0.000745688	1.79787e-16	1.57757e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.52785e+11	9.79446e+06	0.00074856	0	2.05084e-15
	 	 	2	0.00426861	2.51711e+11	9.80729e+06	0.000745232	0	-6.31029e-16
	 	 	3	0.00222942	2.52273e+11	9.80962e+06	0.000743509	0	-4.73272e-16
	 	 	4	0.00413945	2.53322e+11	9.8045e+06	0.000744425	0	9.46543e-16
	 	 	5	0.00111374	2.53604e+11	9.80419e+06	0.000744542	0	1.57757e-16
	 	 	6	0.000317754	2.53685e+11	9.80426e+06	0.000744544	0	-7.88786e-16
	 	 	7	8.52039e-05	2.53706e+11	9.80429e+06	0.000744541	0	-4.73272e-16
	 	 	8	1.99352e-05	2.53711e+11	9.8043e+06	0.000744541	0	9.46543e-16
	 	 	9	3.98864e-06	2.53712e+11	9.8043e+06	0.000744541	0	6.31029e-16
	 	 	10	6.82393e-07	2.53713e+11	9.8043e+06	0.000744541	0	1.57757e-16
	 	 	11	1.00126e-07	2.53713e+11	9.8043e+06	0.000744541	0	2.05084e-15
	 	 	12	1.26354e-08	2.53713e+11	9.8043e+06	0.000744541	0	0
	 	 	13	1.38943e-09	2.53713e+11	9.8043e+06	0.000744541	0	1.73533e-15
	 2	0.000853656	9.8043e+06	0.427267	0.904126	2.11607	0.000744541	1.07872e-15	1.73533e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.53568e+11	9.81328e+06	0.000747513	0	-3.15514e-16
	 	 	2	0.00433867	2.52473e+11	9.82404e+06	0.000744892	0	3.15514e-16
	 	 	3	0.00121064	2.52779e+11	9.82616e+06	0.000743506	0	-1.89309e-15
	 	 	4	0.00302188	2.53545e+11	9.82224e+06	0.000744197	0	6.31029e-16
	 	 	5	0.000812255	2.53751e+11	9.822e+06	0.000744287	0	-4.73272e-16
	 	 	6	0.000232771	2.5381e+11	9.82205e+06	0.000744289	0	1.57757e-16
	 	 	7	6.283e-05	2.53826e+11	9.82207e+06	0.000744287	0	4.73272e-16
	 	 	8	1.47735e-05	2.5383e+11	9.82208e+06	0.000744286	0	1.1043e-15
	 	 	9	2.96353e-06	2.53831e+11	9.82208e+06	0.000744286	0	2.2086e-15
	 	 	10	5.07106e-07	2.53831e+11	9.82208e+06	0.000744286	0	-3.15514e-16
	 	 	11	7.42329e-08	2.53831e+11	9.82208e+06	0.000744286	0	-9.46543e-16
	 	 	12	9.32174e-09	2.53831e+11	9.82208e+06	0.000744286	0	2.36636e-15
	 3	0.000318565	9.82208e+06	0.426455	0.904509	2.12099	0.000744286	0	2.36636e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.53746e+11	9.82965e+06	0.000746984	0	-1.57757e-15
	 	 	2	0.00393327	2.52752e+11	9.83909e+06	0.000744721	1	7.88786e-16
	 	 	3	0.000916067	2.52983e+11	9.8411e+06	0.000743512	0	3.15514e-16
	 	 	4	0.0025767	2.53637e+11	9.83763e+06	0.000744108	0	1.57757e-16
	 	 	5	0.000693312	2.53813e+11	9.83741e+06	0.000744188	0	-9.46543e-16
	 	 	6	0.000198519	2.53863e+11	9.83745e+06	0.00074419	0	1.73533e-15
	 	 	7	5.37607e-05	2.53877e+11	9.83747e+06	0.000744188	0	0
	 	 	8	1.27069e-05	2.5388e+11	9.83747e+06	0.000744188	0	5.20599e-15
	 	 	9	2.56202e-06	2.53881e+11	9.83747e+06	0.000744188	0	-2.83963e-15
	 	 	10	4.40207e-07	2.53881e+11	9.83747e+06	0.000744188	0	-6.31029e-16
	 	 	11	6.46133e-08	2.53881e+11	9.83747e+06	0.000744188	0	-2.36636e-15
	 	 	12	8.12115e-09	2.53881e+11	9.83747e+06	0.000744188	0	-6.31029e-16
	 4	0.000222824	9.83747e+06	0.425798	0.904818	2.12499	0.000744188	-5.39361e-16	-6.31029e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.5381e+11	9.84464e+06	0.000746761	0	0
	 	 	2	0.00374517	2.52863e+11	9.85355e+06	0.000744661	1	9.46543e-16
	 	 	3	0.00082065	2.53071e+11	9.85538e+06	0.000743511	1	-2.83963e-15
	 	 	4	0.00238983	2.53677e+11	9.85224e+06	0.000744067	0	-3.94393e-15
	 	 	5	0.000645911	2.53841e+11	9.85201e+06	0.000744141	0	-1.26206e-15
	 	 	6	0.000185531	2.53888e+11	9.85204e+06	0.000744143	0	-3.15514e-16
	 	 	7	5.00843e-05	2.53901e+11	9.85206e+06	0.000744142	0	-1.26206e-15
	 	 	8	1.18513e-05	2.53904e+11	9.85206e+06	0.000744142	0	-1.41981e-15
	 	 	9	2.40252e-06	2.53905e+11	9.85206e+06	0.000744142	0	1.57757e-16
	 	 	10	4.16167e-07	2.53905e+11	9.85206e+06	0.000744142	0	1.57757e-16
	 	 	11	6.16641e-08	2.53905e+11	9.85206e+06	0.000744142	0	2.2086e-15
	 	 	12	7.82505e-09	2.53905e+11	9.85206e+06	0.000744142	0	-3.47066e-15
	 5	0.000191072	9.85206e+06	0.425188	0.905105	2.12872	0.000744142	0	-3.47066e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.53838e+11	9.85921e+06	0.000746725	1	1.73533e-15
	 	 	2	0.00368792	2.52905e+11	9.87148e+06	0.000743296	1	1.1043e-15
	 	 	3	0.00290725	2.53643e+11	9.86676e+06	0.000744047	1	-7.88786e-16
	 	 	4	0.000755715	2.53835e+11	9.86636e+06	0.00074416	1	-6.31029e-16
	 	 	5	0.000216787	2.5389e+11	9.86639e+06	0.000744166	1	1.1043e-15
	 	 	6	6.06198e-05	2.53905e+11	9.86641e+06	0.000744165	1	2.52411e-15
	 	 	7	1.49011e-05	2.53909e+11	9.86642e+06	0.000744164	1	1.57757e-16
	 	 	8	3.12022e-06	2.5391e+11	9.86642e+06	0.000744164	1	-3.15514e-16
	 	 	9	5.55828e-07	2.5391e+11	9.86642e+06	0.000744164	1	4.73272e-16
	 	 	10	8.45878e-08	2.5391e+11	9.86642e+06	0.000744164	1	2.83963e-15
	 	 	11	1.10328e-08	2.5391e+11	9.86642e+06	0.000744164	1	-9.46543e-16
	 	 	12	1.24436e-09	2.5391e+11	9.86642e+06	0.000744164	1	-4.73272e-16
	 6	0.000201817	9.86642e+06	0.424589	0.905386	2.13238	0.000744164	0	-4.73272e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.5382e+11	9.87119e+06	0.000747197	1	-3.15514e-16
	 	 	2	0.00450476	2.52681e+11	9.88186e+06	0.000744574	1	-3.15514e-16
	 	 	3	0.00116215	2.52975e+11	9.88371e+06	0.000743284	1	0
	 	 	4	0.00286189	2.53702e+11	9.87997e+06	0.000743943	1	-7.88786e-16
	 	 	5	0.000770599	2.53897e+11	9.87975e+06	0.000744027	1	-2.05084e-15
	 	 	6	0.000221128	2.53953e+11	9.8798e+06	0.000744029	1	1.57757e-15
	 	 	7	5.96545e-05	2.53969e+11	9.87981e+06	0.000744028	1	1.26206e-15
	 	 	8	1.40167e-05	2.53972e+11	9.87982e+06	0.000744027	1	-6.31029e-16
	 	 	9	2.81114e-06	2.53973e+11	9.87982e+06	0.000744027	1	6.31029e-16
	 	 	10	4.81335e-07	2.53973e+11	9.87982e+06	0.000744027	1	9.46543e-16
	 	 	11	7.05902e-08	2.53973e+11	9.87982e+06	0.000744027	1	-4.4172e-15
	 	 	12	8.89526e-09	2.53973e+11	9.87982e+06	0.000744027	1	-1.89309e-15
	 7	0.000172956	9.87982e+06	0.423984	0.90567	2.1361	0.000744027	1.79787e-16	-1.89309e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.53902e+11	9.88526e+06	0.000746045	1	3.62842e-15
	 	 	2	0.00295653	2.53153e+11	9.89542e+06	0.00074318	1	1.73533e-15
	 	 	3	0.00251595	2.53792e+11	9.89134e+06	0.000743828	1	-1.57757e-16
	 	 	4	0.000654879	2.53958e+11	9.891e+06	0.000743926	1	9.46543e-16
	 	 	5	0.000187646	2.54006e+11	9.89103e+06	0.00074393	1	-6.31029e-16
	 	 	6	5.23638e-05	2.54019e+11	9.89105e+06	0.000743929	1	0
	 	 	7	1.28431e-05	2.54022e+11	9.89105e+06	0.000743929	1	-2.68187e-15
	 	 	8	2.68033e-06	2.54023e+11	9.89105e+06	0.000743929	1	3.3129e-15
	 	 	9	4.74354e-07	2.54023e+11	9.89105e+06	0.000743929	1	-6.31029e-16
	 	 	10	7.15891e-08	2.54023e+11	9.89105e+06	0.000743929	1	1.57757e-15
	 	 	11	9.22852e-09	2.54023e+11	9.89105e+06	0.000743929	1	-7.88786e-16
	 8	0.00020249	9.89105e+06	0.423474	0.905908	2.13923	0.000743929	0	-7.88786e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.53964e+11	9.89431e+06	0.000746335	1	7.88786e-16
	 	 	2	0.0035866	2.53056e+11	9.90623e+06	0.000742984	1	6.31029e-16
	 	 	3	0.00289368	2.53791e+11	9.90144e+06	0.00074374	1	6.31029e-16
